問題ID,ファイル名,疑惑レベル,タイプ,文,正解,選択肢,理由,判定,代替正解,修正方針,レビュアー,日時
g2-u4-fib-011,grammar_grade2_unit3.json,2,fillInBlank,I have a book ____ read.,to,to | for | of,前置詞が2個,,,,,
g2-u4-fib-012,grammar_grade2_unit3.json,2,fillInBlank,I have a letter ____ write.,to,to | for | at,前置詞が3個,,,,,
g2-u4-fib-013,grammar_grade2_unit3.json,2,fillInBlank,I have a friend ____ meet.,to,to | for | of,前置詞が2個,,,,,
g2-u4-fib-014,grammar_grade2_unit3.json,2,fillInBlank,She has a place ____ visit.,to,to | for | at,前置詞が3個,,,,,
g2-u4-fib-015,grammar_grade2_unit3.json,2,fillInBlank,I have work ____ do.,to,to | for | of,前置詞が2個,,,,,
g2-u4-fib-016,grammar_grade2_unit3.json,2,fillInBlank,I exercise ____ be healthy.,to,to | for | of,前置詞が2個,,,,,
g2-u4-fib-017,grammar_grade2_unit3.json,2,fillInBlank,She came to Japan ____ learn English.,to,to | for | at,前置詞が3個,,,,,
g2-u4-fib-018,grammar_grade2_unit3.json,2,fillInBlank,I went to the park ____ meet my friend.,to,to | for | of,前置詞が2個,,,,,
g2-u4-fib-019,grammar_grade2_unit3.json,2,fillInBlank,He went to his room ____ listen to music.,to,to | for | at,前置詞が3個,,,,,
g2-u4-fib-020,grammar_grade2_unit3.json,2,fillInBlank,I went to town ____ shop.,to,to | for | of,前置詞が2個,,,,,
g2-u4-fib-021,grammar_grade2_unit3.json,2,fillInBlank,She loves ____ sing.,to,to | for | at,前置詞が3個,,,,,
g2-u4-fib-022,grammar_grade2_unit3.json,2,fillInBlank,I love ____ dance.,to,to | for | of,前置詞が2個,,,,,
g2-u4-fib-023,grammar_grade2_unit3.json,2,fillInBlank,He loves ____ draw pictures.,to,to | for | at,前置詞が3個,,,,,
g2-u4-fib-024,grammar_grade2_unit3.json,2,fillInBlank,We like ____ play soccer.,to,to | for | of,前置詞が2個,,,,,
g2-u4-fib-025,grammar_grade2_unit3.json,2,fillInBlank,They like ____ travel.,to,to | for | at,前置詞が3個,,,,,
g2-u4-fib-026,grammar_grade2_unit3.json,2,fillInBlank,I want ____ make new friends.,to,to | for | of,前置詞が2個,,,,,
g2-u4-fib-027,grammar_grade2_unit3.json,2,fillInBlank,She wants ____ take pictures.,to,to | for | at,前置詞が3個,,,,,
g2-u4-fib-028,grammar_grade2_unit3.json,2,fillInBlank,I want ____ speak English well.,to,to | for | of,前置詞が2個,,,,,
g2-u4-fib-029,grammar_grade2_unit3.json,2,fillInBlank,He wants ____ be famous.,to,to | for | at,前置詞が3個,,,,,
g2-u4-fib-030,grammar_grade2_unit3.json,2,fillInBlank,I want ____ travel around the world.,to,to | for | of,前置詞が2個,,,,,
g2-u4-fib-031,grammar_grade2_unit3.json,2,fillInBlank,I have someone ____ help.,to,to | for | at,前置詞が3個,,,,,
g2-u4-fib-032,grammar_grade2_unit3.json,2,fillInBlank,She has something ____ say.,to,to | for | of,前置詞が2個,,,,,
g2-u4-fib-033,grammar_grade2_unit3.json,2,fillInBlank,I have some food ____ eat.,to,to | for | at,前置詞が3個,,,,,
g2-u4-fib-034,grammar_grade2_unit3.json,2,fillInBlank,He has a question ____ ask.,to,to | for | of,前置詞が2個,,,,,
g2-u4-fib-035,grammar_grade2_unit3.json,2,fillInBlank,I have a movie ____ watch.,to,to | for | at,前置詞が3個,,,,,
g2-u4-fib-036,grammar_grade2_unit3.json,2,fillInBlank,I studied hard ____ pass the exam.,to,to | for | of,前置詞が2個,,,,,
g2-u4-fib-037,grammar_grade2_unit3.json,2,fillInBlank,She went to university ____ become a teacher.,to,to | for | at,前置詞が3個,,,,,
g2-u4-fib-038,grammar_grade2_unit3.json,2,fillInBlank,I went home ____ be with my family.,to,to | for | of,前置詞が2個,,,,,
g2-u4-fib-039,grammar_grade2_unit3.json,2,fillInBlank,He runs every day ____ stay healthy.,to,to | for | at,前置詞が3個,,,,,
g2-u4-fib-040,grammar_grade2_unit3.json,2,fillInBlank,I want to go to Japan ____ learn Japanese.,to,to | for | of,前置詞が2個,,,,,
g2-u4-fib-041,grammar_grade2_unit3.json,2,fillInBlank,I like ____ get up early.,to,to | for | at,前置詞が3個,,,,,
g2-u4-fib-042,grammar_grade2_unit3.json,2,fillInBlank,She likes ____ take a walk.,to,to | for | of,前置詞が2個,,,,,
g2-u4-fib-043,grammar_grade2_unit3.json,2,fillInBlank,I like ____ play the guitar.,to,to | for | at,前置詞が3個,,,,,
g2-u4-fib-044,grammar_grade2_unit3.json,2,fillInBlank,He likes ____ play the piano.,to,to | for | of,前置詞が2個,,,,,
g2-u4-fib-045,grammar_grade2_unit3.json,2,fillInBlank,We like ____ play outside.,to,to | for | at,前置詞が3個,,,,,
g2-u4-fib-046,grammar_grade2_unit3.json,2,fillInBlank,I want ____ learn a new language.,to,to | for | of,前置詞が2個,,,,,
g2-u4-fib-047,grammar_grade2_unit3.json,2,fillInBlank,She wants ____ buy a new car.,to,to | for | at,前置詞が3個,,,,,
g2-u4-fib-048,grammar_grade2_unit3.json,2,fillInBlank,I want ____ work abroad.,to,to | for | of,前置詞が2個,,,,,
g2-u4-fib-049,grammar_grade2_unit3.json,2,fillInBlank,He wants ____ succeed.,to,to | for | at,前置詞が3個,,,,,
g2-u4-fib-050,grammar_grade2_unit3.json,2,fillInBlank,I want ____ stay healthy.,to,to | for | of,前置詞が2個,,,,,
g2-u4-fib-051,grammar_grade2_unit3.json,2,fillInBlank,I have a chair ____ sit on.,to,to | for | at,前置詞が3個,,,,,
g2-u4-fib-052,grammar_grade2_unit3.json,2,fillInBlank,She has a place ____ live in.,to,to | for | of,前置詞が2個,,,,,
g2-u4-fib-053,grammar_grade2_unit3.json,2,fillInBlank,I have a pen ____ write with.,to,to | for | at,前置詞が3個,,,,,
g2-u4-fib-054,grammar_grade2_unit3.json,2,fillInBlank,He has someone ____ talk to.,to,to | for | of,前置詞が2個,,,,,
g2-u4-fib-055,grammar_grade2_unit3.json,2,fillInBlank,I have time ____ play.,to,to | for | at,前置詞が3個,,,,,
g2-u4-pp-001,grammar_grade2_unit3.json,2,paraphrase,I enjoy reading books.,to,to | for | of,前置詞が2個,,,,,
g2-u4-pp-002,grammar_grade2_unit3.json,2,paraphrase,She enjoys listening to music.,to,to | for | at,前置詞が3個,,,,,
g2-u4-pp-003,grammar_grade2_unit3.json,2,paraphrase,I would like to study English.,to,to | for | of,前置詞が2個,,,,,
g2-u4-pp-004,grammar_grade2_unit3.json,2,paraphrase,She wishes to be a singer.,to,to | for | at,前置詞が3個,,,,,
g2-u4-pp-005,grammar_grade2_unit3.json,2,paraphrase,I hope to be a doctor.,to,to | for | of,前置詞が2個,,,,,
g2-u4-pp-006,grammar_grade2_unit3.json,2,paraphrase,I have a book for reading.,to,to | for | at,前置詞が3個,,,,,
g2-u4-pp-007,grammar_grade2_unit3.json,2,paraphrase,I have a letter that I must write.,to,to | for | of,前置詞が2個,,,,,
g2-u4-pp-008,grammar_grade2_unit3.json,2,paraphrase,I exercise for staying healthy.,to,to | for | at,前置詞が3個,,,,,
g2-u4-pp-009,grammar_grade2_unit3.json,2,paraphrase,She came to Japan for learning English.,to,to | for | of,前置詞が2個,,,,,
g2-u4-pp-010,grammar_grade2_unit3.json,2,paraphrase,I went to the park for meeting my friend.,to,to | for | at,前置詞が3個,,,,,
g2-u4-pp-011,grammar_grade2_unit3.json,2,paraphrase,Reading books is my favorite activity.,to,to | for | of,前置詞が2個,,,,,
g2-u4-pp-012,grammar_grade2_unit3.json,2,paraphrase,Singing is what she loves.,to,to | for | at,前置詞が3個,,,,,
g2-u4-pp-013,grammar_grade2_unit3.json,2,paraphrase,Dancing is something I love.,to,to | for | of,前置詞が2個,,,,,
g2-u4-pp-014,grammar_grade2_unit3.json,2,paraphrase,I would like to make new friends.,to,to | for | at,前置詞が3個,,,,,
g2-u4-pp-015,grammar_grade2_unit3.json,2,paraphrase,She wishes to take pictures.,to,to | for | of,前置詞が2個,,,,,
g2-u4-pp-016,grammar_grade2_unit3.json,2,paraphrase,I have someone that I must help.,to,to | for | at,前置詞が3個,,,,,
g2-u4-pp-017,grammar_grade2_unit3.json,2,paraphrase,She has something that she should say.,to,to | for | of,前置詞が2個,,,,,
g2-u4-pp-018,grammar_grade2_unit3.json,2,paraphrase,I studied hard so that I could pass the exam.,to,to | for | at,前置詞が3個,,,,,
g2-u4-pp-019,grammar_grade2_unit3.json,2,paraphrase,She went to university so that she could become a teacher.,to,to | for | of,前置詞が2個,,,,,
g2-u4-pp-020,grammar_grade2_unit3.json,2,paraphrase,I went home so that I could be with my family.,to,to | for | at,前置詞が3個,,,,,
g2-u4-pp-021,grammar_grade2_unit3.json,2,paraphrase,Getting up early is something I like.,to,to | for | of,前置詞が2個,,,,,
g2-u4-pp-022,grammar_grade2_unit3.json,2,paraphrase,Taking a walk is something she likes.,to,to | for | at,前置詞が3個,,,,,
g2-u4-pp-023,grammar_grade2_unit3.json,2,paraphrase,I would like to learn a new language.,to,to | for | of,前置詞が2個,,,,,
g2-u4-pp-024,grammar_grade2_unit3.json,2,paraphrase,She wishes to buy a new car.,to,to | for | at,前置詞が3個,,,,,
g2-u4-conv-001,grammar_grade2_unit3.json,2,conversation,,to,to | for | of,前置詞が2個,,,,,
g2-u4-conv-002,grammar_grade2_unit3.json,2,conversation,,to,to | for | at,前置詞が3個,,,,,
g2-u4-conv-003,grammar_grade2_unit3.json,2,conversation,,to,to | for | of,前置詞が2個,,,,,
g2-u4-conv-004,grammar_grade2_unit3.json,2,conversation,,to,to | for | at,前置詞が3個,,,,,
g2-u4-conv-005,grammar_grade2_unit3.json,2,conversation,,to,to | for | of,前置詞が2個,,,,,
g2-u4-conv-006,grammar_grade2_unit3.json,2,conversation,,to,to | for | at,前置詞が3個,,,,,
g2-u4-conv-007,grammar_grade2_unit3.json,2,conversation,,to,to | for | of,前置詞が2個,,,,,
g2-u4-conv-008,grammar_grade2_unit3.json,2,conversation,,to,to | for | at,前置詞が3個,,,,,
g2-u4-conv-009,grammar_grade2_unit3.json,2,conversation,,to,to | for | of,前置詞が2個,,,,,
g2-u4-conv-010,grammar_grade2_unit3.json,2,conversation,,to,to | for | at,前置詞が3個,,,,,
g2-u4-conv-011,grammar_grade2_unit3.json,2,conversation,,to,to | for | of,前置詞が2個,,,,,
g2-u4-conv-012,grammar_grade2_unit3.json,2,conversation,,to,to | for | at,前置詞が3個,,,,,
g2-u4-conv-013,grammar_grade2_unit3.json,2,conversation,,to,to | for | of,前置詞が2個,,,,,
g2-u4-conv-014,grammar_grade2_unit3.json,2,conversation,,to,to | for | at,前置詞が3個,,,,,
g2-u3-vf-001,grammar_grade2_unit4.json,2,verbForm,I must ____ my homework.,do,do | does | did,時制マーカーなし & 動詞変化形が複数,,,,,
fb-g3-u0-005,grammar_grade2_unit7.json,2,fillInBlank,These cars are ____ in Japan.,made,made | make | makes,時制マーカーなし & 動詞変化形が複数,,,,,
g3u0_032,grammar_grade3_unit0.json,2,fillInBlank,She came here ___ see me.,to,to | for | at | in,前置詞が4個,,,,,
g3u0_033,grammar_grade3_unit0.json,2,fillInBlank,I have a lot of homework ___.,to do,do | to do | doing | did,時制マーカーなし & 動詞変化形が複数,,,,,
g3u0_034,grammar_grade3_unit0.json,2,fillInBlank,It is important ___ study hard.,to,to | for | of | that,前置詞が2個,,,,,
g3u0_035,grammar_grade3_unit0.json,2,fillInBlank,I was glad ___ hear the news.,to,to | for | at | of,前置詞が3個,,,,,
g3u0_066,grammar_grade3_unit0.json,2,fillInBlank,The cake was ___ by my mother.,made,make | made | making | makes,時制マーカーなし & 動詞変化形が複数,,,,,
vf-g3-u1-001,grammar_grade3_unit1.json,2,verbForm,I ____ met him.,have,have | has | had,時制マーカーなし & 動詞変化形が複数,,,,,
vf-g3-u1-002,grammar_grade3_unit1.json,2,verbForm,She ____ been to Tokyo.,has,has | have | had,時制マーカーなし & 動詞変化形が複数,,,,,
vf-g3-u1-003,grammar_grade3_unit1.json,2,verbForm,We ____ seen that movie.,have,have | has | had,時制マーカーなし & 動詞変化形が複数,,,,,
vf-g3-u1-004,grammar_grade3_unit1.json,2,verbForm,He ____ finished his homework.,has,has | have | had,時制マーカーなし & 動詞変化形が複数,,,,,
vf-g3-u1-005,grammar_grade3_unit1.json,2,verbForm,They ____ already eaten lunch.,have,have | has | had,時制マーカーなし & 動詞変化形が複数,,,,,
vf-g3-u1-006,grammar_grade3_unit1.json,2,verbForm,I ____ never read this book.,have,have | has | had,時制マーカーなし & 動詞変化形が複数,,,,,
vf-g3-u1-007,grammar_grade3_unit1.json,2,verbForm,She ____ not come yet.,has,has | have | had,時制マーカーなし & 動詞変化形が複数,,,,,
vf-g3-u1-010,grammar_grade3_unit1.json,2,verbForm,I ____ studied English for three years.,have,have | has | had,時制マーカーなし & 動詞変化形が複数,,,,,
vf-g3-u1-011,grammar_grade3_unit1.json,2,verbForm,She ____ waited for two hours.,has,has | have | had,時制マーカーなし & 動詞変化形が複数,,,,,
vf-g3-u1-012,grammar_grade3_unit1.json,2,verbForm,We ____ just arrived.,have,have | has | had,時制マーカーなし & 動詞変化形が複数,,,,,
vf-g3-u1-013,grammar_grade3_unit1.json,2,verbForm,He ____ already left.,has,has | have | had,時制マーカーなし & 動詞変化形が複数,,,,,
vf-g3-u1-014,grammar_grade3_unit1.json,2,verbForm,They ____ visited Kyoto.,have,have | has | had,時制マーカーなし & 動詞変化形が複数,,,,,
vf-g3-u1-015,grammar_grade3_unit1.json,2,verbForm,I ____ never met her.,have,have | has | had,時制マーカーなし & 動詞変化形が複数,,,,,
vf-g3-u1-017,grammar_grade3_unit1.json,2,verbForm,She ____ finished writing the letter.,has,has | have | had,時制マーカーなし & 動詞変化形が複数,,,,,
vf-g3-u1-018,grammar_grade3_unit1.json,2,verbForm,We ____ lived here for a long time.,have,have | has | had,時制マーカーなし & 動詞変化形が複数,,,,,
vf-g3-u1-019,grammar_grade3_unit1.json,2,verbForm,He ____ failed many times.,has,has | have | had,時制マーカーなし & 動詞変化形が複数,,,,,
vf-g3-u1-020,grammar_grade3_unit1.json,2,verbForm,They ____ not decided yet.,have,have | has | had,時制マーカーなし & 動詞変化形が複数,,,,,
fb-g3-u1-003,grammar_grade3_unit1.json,2,fillInBlank,We have ____ that movie.,seen,seen | see | saw,時制マーカーなし & 動詞変化形が複数,,,,,
vf-g3-u2-001,grammar_grade3_unit2.json,2,verbForm,I ____ been studying for two hours.,have,have | has | had,時制マーカーなし & 動詞変化形が複数,,,,,
vf-g3-u2-002,grammar_grade3_unit2.json,2,verbForm,He ____ been working since morning.,has,has | have | had,時制マーカーなし & 動詞変化形が複数,,,,,
vf-g3-u2-003,grammar_grade3_unit2.json,2,verbForm,She ____ been waiting for 30 minutes.,has,has | have | had,時制マーカーなし & 動詞変化形が複数,,,,,
vf-g3-u2-004,grammar_grade3_unit2.json,2,verbForm,We ____ been living here for three years.,have,have | has | had,時制マーカーなし & 動詞変化形が複数,,,,,
vf-g3-u2-005,grammar_grade3_unit2.json,2,verbForm,They ____ been talking for an hour.,have,have | has | had,時制マーカーなし & 動詞変化形が複数,,,,,
vf-g3-u2-006,grammar_grade3_unit2.json,2,verbForm,What ____ you been doing?,have,have | has | had,時制マーカーなし & 動詞変化形が複数,,,,,
vf-g3-u2-008,grammar_grade3_unit2.json,2,verbForm,She ____ been cooking since morning.,has,has | have | had,時制マーカーなし & 動詞変化形が複数,,,,,
vf-g3-u2-009,grammar_grade3_unit2.json,2,verbForm,I ____ been looking for this for a long time.,have,have | has | had,時制マーカーなし & 動詞変化形が複数,,,,,
vf-g3-u2-010,grammar_grade3_unit2.json,2,verbForm,They ____ been traveling for a week.,have,have | has | had,時制マーカーなし & 動詞変化形が複数,,,,,
vf-g3-u2-011,grammar_grade3_unit2.json,2,verbForm,He ____ been studying since 6 o'clock.,has,has | have | had,時制マーカーなし & 動詞変化形が複数,,,,,
vf-g3-u2-012,grammar_grade3_unit2.json,2,verbForm,We ____ been running for two hours.,have,have | has | had,時制マーカーなし & 動詞変化形が複数,,,,,
vf-g3-u2-013,grammar_grade3_unit2.json,2,verbForm,She ____ been playing the piano since this afternoon.,has,has | have | had,時制マーカーなし & 動詞変化形が複数,,,,,
vf-g3-u2-014,grammar_grade3_unit2.json,2,verbForm,I ____ been teaching English for five years.,have,have | has | had,時制マーカーなし & 動詞変化形が複数,,,,,
vf-g3-u2-015,grammar_grade3_unit2.json,2,verbForm,It ____ been raining since morning.,has,has | have | had,時制マーカーなし & 動詞変化形が複数,,,,,
vf-g3-u2-016,grammar_grade3_unit2.json,2,verbForm,How long ____ you been here?,have,have | has | had,時制マーカーなし & 動詞変化形が複数,,,,,
vf-g3-u2-017,grammar_grade3_unit2.json,2,verbForm,He ____ been talking on the phone for an hour.,has,has | have | had,時制マーカーなし & 動詞変化形が複数,,,,,
vf-g3-u2-019,grammar_grade3_unit2.json,2,verbForm,She ____ been singing for 30 minutes.,has,has | have | had,時制マーカーなし & 動詞変化形が複数,,,,,
g3-u3-fib-001,grammar_grade3_unit3.json,2,fillInBlank,It is important ____ study English.,to,to | for | of,前置詞が2個,,,,,
g3-u3-fib-003,grammar_grade3_unit3.json,2,fillInBlank,It is easy ____ me to read this book.,for,for | to | of,前置詞が2個,,,,,
g3-u3-fib-004,grammar_grade3_unit3.json,2,fillInBlank,It is fun for him ____ swim.,to,to | for | of,前置詞が2個,,,,,
g3-u3-fib-010,grammar_grade3_unit3.json,2,fillInBlank,It is important ____ stay healthy.,to,to | for | of,前置詞が2個,,,,,
g3-u3-fib-011,grammar_grade3_unit3.json,2,fillInBlank,It is necessary ____ us to protect the environment.,for,for | to | of,前置詞が2個,,,,,
g3-u3-fib-014,grammar_grade3_unit3.json,2,fillInBlank,It is hard ____ solve this problem.,to,to | for | of,前置詞が2個,,,,,
g3-u3-fib-018,grammar_grade3_unit3.json,2,fillInBlank,It is interesting ____ learn a new language.,to,to | for | of,前置詞が2個,,,,,
g3-u3-fib-022,grammar_grade3_unit3.json,2,fillInBlank,It is good ____ exercise every day.,to,to | for | of,前置詞が2個,,,,,
g3-u3-fib-023,grammar_grade3_unit3.json,2,fillInBlank,It is easy for her ____ get up early.,to,to | for | of,前置詞が2個,,,,,
g3-u3-conv-001,grammar_grade3_unit3.json,2,conversation,,to,to | for | of,前置詞が2個,,,,,
g3-u3-conv-004,grammar_grade3_unit3.json,2,conversation,,for,for | to | of,前置詞が2個,,,,,
g3u6-fill-6,grammar_grade3_unit4.json,2,fillInBlank,Cars _____ in Japan are very popular.,made,made | make | making | to make,時制マーカーなし & 動詞変化形が複数,,,,,
g3u6-verb-6,grammar_grade3_unit4.json,2,verbForm,Cars _____ (make) in Japan are very popular.,made,made | make | makes,時制マーカーなし & 動詞変化形が複数,,,,,
g3-u6-fib-006,grammar_grade3_unit6.json,2,fillInBlank,I wish I ____ more money.,had,had | have | has,時制マーカーなし & 動詞変化形が複数,,,,,
g3-u6-fib-011,grammar_grade3_unit6.json,2,fillInBlank,I wish I ____ a car.,had,had | have | has,時制マーカーなし & 動詞変化形が複数,,,,,
g3-u6-fib-018,grammar_grade3_unit6.json,2,fillInBlank,"If he ____, we would have fun.",came,came | come | comes,時制マーカーなし & 動詞変化形が複数,,,,,
g3-u6-fib-019,grammar_grade3_unit6.json,2,fillInBlank,I wish I ____ more time.,had,had | have | has,時制マーカーなし & 動詞変化形が複数,,,,,
g3-u6-conv-004,grammar_grade3_unit6.json,2,conversation,,had,had | have | has,時制マーカーなし & 動詞変化形が複数,,,,,
