語句,読み,意味,語源等解説,関連語,関連分野,難易度
activity,アクティ́ヴィティ,活動・行動,active+ity。派生: outdoor activity(アウトドアアクティヴィティ): 屋外活動,"action(ア́クション): 行動, pursuit(パースー́ト): 活動",人・社会,intermediate
actor,ア́クター,俳優,act+or。派生: actress(ア́クトレス): 女優,"performer(パフォ́ーマー): 演技者, player(プレ́イヤー): 役者",運動・娯楽,intermediate
actually,Actually,actualの状態で,,,人・社会,intermediate
add,ア́ッド,加える,"ラテン語の ""addere"" が語源。""ad-""(〜へ)と ""dare""(与える)から。","subtract(サブトラ́クト): 引く, increase(インクリ́ース): 増やす",人・社会,beginner
adult,アダ́ルト,成人・大人の / 大人,"ラテン語 ""adultus""(成長した)。派生: adulthood(アダルトフッド): 成人期","grown-up(グロ́ウンアップ): 大人, mature(マチュ́ア): 成熟した、grown-up(グロウンアップ): 大人, mature(マチュア): 成熟した",人・社会,intermediate
advice,アドヴァ́イス,助言,"古フランス語 ""avis""(意見)。派生: advisable(アドヴァイザブル): 賢明な","suggestion(サジェスチョン): 提案, recommendation(レコメンデイション): 推奨",人・社会,intermediate
affect,アフェ́クト,影響する・感動させる,"ラテン語 ""afficere""(作用する)。派生: affected(アフェクティッド): 影響を受けた / affection(アフェクション): 愛情","influence(イ́ンフルエンス): 影響する, impact(インパ́クト): 影響を与える",自然・環境,intermediate
afraid,アフレ́イド,恐れて,"古英語の ""āfǣran""(怖がらせる)が語源。","scared(スケ́アド): 怖がって, fearful(フィ́アフル): 恐れている",人・社会,beginner
after,ア́フター,〜の後で,"古英語の ""æfter"" が語源。","before(ビフォ́ー): 〜の前に, later(レ́イター): 後で",時間・数量,beginner
afternoon,アフタヌ́ーン,午後,"after+""noon""(正午)。派生: this afternoon(ジスアフタヌーン): 今日の午後","morning(モーニング): 午前, evening(イーヴニング): 夕方, noon(ヌーン): 正午",時間・数量,beginner
again,アゲ́イン,再び,"古英語の ""ongean""(反対側に)が語源。","once more(ワ́ンスモ́ア): もう一度, repeat(リピ́ート): 繰り返す",人・社会,beginner
against,Against,〜に反対して,,,人・社会,intermediate
age,エ́イジ,年齢,"ラテン語の ""aevum""(時代)が語源。","old(オ́ウルド): 年老いた, young(ヤ́ング): 若い",時間・数量,beginner
ago,アゴ́ウ,〜前に,"古英語の ""āgān""(過ぎ去る)が語源。","before(ビフォ́ー): 以前に, past(パ́スト): 過去",時間・数量,beginner
agree,アグリ́ー,同意する,"ラテン語の ""gratus""(心地よい)が語源。""ad-""(〜へ)と ""gratus"" から。","disagree(ディスアグリ́ー): 反対する, accept(アクセ́プト): 受け入れる",人・社会,beginner
ahead,Ahead,前方に,,,時間・数量,intermediate
aid,Aid,援助,,,人・社会,intermediate
air,エ́アー,空気,"ギリシャ語の ""aēr"" が語源。","wind(ウィ́ンド): 風, sky(スカ́イ): 空",自然・環境,beginner
airplane,Airplane,飛行機,,,場所・移動,intermediate
airport,Airport,空港,,,場所・移動,intermediate
album,ア́ルバム,アルバム,"ラテン語 ""album""(白い板)。派生: photo album(フォウトウアルバム): 写真アルバム","collection(コレ́クション): コレクション, record(レ́コード): レコード",人・社会,intermediate
alive,アラ́イヴ,生きている,"古英語 ""on life""(生命において)。派生: stay alive(ステイアライヴ): 生き続ける / come alive(カムアライヴ): 生き生きする","living(リ́ヴィング): 生きている, active(ア́クティヴ): 活発な、living(リヴィング): 生きている, dead(デッド): 死んだ",人・社会,intermediate
all,オ́ール,すべての,"古英語の ""eall"" が語源。","every(エ́ヴリ): すべての, none(ナ́ン): 何もない",言語基本,beginner
allow,アラ́ウ,許す,"ラテン語の ""allaudare""(称賛する)が語源。意味が変化した。","permit(パーミ́ット): 許可する, forbid(フォービ́ッド): 禁じる",人・社会,beginner
almost,オ́ールモウスト,ほとんど,"古英語の ""eallmǣst""(すべて最も)が語源。","nearly(ニ́アリ): ほとんど, just about(ジャ́ストアバ́ウト): ほぼ",人・社会,beginner
alone,アロ́ウン,一人で,"""all"" と ""one"" から。","lonely(ロ́ウンリ): 寂しい, together(トゥゲ́ザー): 一緒に",人・社会,beginner
along,アロ́ング,〜に沿って,"古英語の ""andlang""(全体の長さ)が語源。","with(ウィ́ズ): 〜と一緒に, beside(ビサ́イド): 〜のそばに",言語基本,beginner
alphabet,ア́ルファベット,アルファベット,ギリシャ語 alpha+beta(最初の2文字)。派生: alphabetical(アルファベ́ティカル): アルファベット順の,"letters(レ́ターズ): 文字, ABC(エイビースィー): アルファベット",人・社会,intermediate
already,オールレ́ディ,すでに,"""all"" と ""ready"" から。","yet(イェ́ット): まだ, now(ナ́ウ): 今",言語基本,beginner
also,オ́ールソウ,〜もまた,"古英語の ""ealswā""(全くそのように)が語源。","too(トゥ́ー): 〜もまた, as well(アズウェ́ル): 同様に",言語基本,beginner
although,オールゾ́ウ,〜だけれども,"all+""though""(〜にもかかわらず)。派生: even although(イーヴンオールゾウ): たとえ〜でも","though(ゾウ): けれども, even though(イーヴンゾウ): たとえ〜でも",言語基本,intermediate
always,オ́ールウェイズ,いつも,"古英語の ""eallne weg""(すべての道)が語源。","never(ネ́ヴァー): 決して〜ない, often(オ́フン): しばしば",言語基本,beginner
am,ア́ム,〜である,"インド・ヨーロッパ祖語の ""es-""(存在する)が語源。","is(イ́ズ): 〜である, are(ア́ー): 〜である",言語基本,beginner
a.m.,A.M.,午前,,,時間・数量,intermediate
amazing,Amazing,驚くべき,,,人・社会,intermediate
ambulance,ア́ンビュランス,救急車,"ラテン語 ""ambulare""(歩く)。派生: ambulance crew(アンビュランスクルー): 救急隊","emergency vehicle(イマージェンシヴィーイクル): 緊急車両, paramedic(パラメ́ディック): 救急隊員",場所・移動,intermediate
America,America,アメリカ,,,場所・移動,intermediate
American,American,アメリカの,,,場所・移動,intermediate
among,アマ́ング,〜の間で,"古英語の ""onmang""(群れの中に)が語源。","between(ビトウィ́ーン): (二者の)間で, with(ウィ́ズ): 〜と一緒に",言語基本,beginner
amount,Amount,量,,,時間・数量,intermediate
an,ア́ン,一つの,"""one"" と同じ語源。","a(ア́): 一つの, the(ザ́): その",言語基本,beginner
ancient,エ́インシェント,古代の・古い / 古代の,"ラテン語 ""ante""(以前)。派生: ancient times(エインシェントタイムズ): 古代","old(オ́ウルド): 古い, antique(アンティ́ーク): 古代の、old(オウルド): 古い, historic(ヒストリック): 歴史的な",人・社会,intermediate
and,ア́ンド,そして,"ゲルマン祖語の ""andi"" が語源。","or(オ́ア): または, but(バ́ット): しかし",言語基本,beginner
angry,Angry,怒った,,,人・社会,intermediate
animal,ア́ニマル,動物,"ラテン語の ""anima""(生命、魂)が語源。","plant(プラ́ント): 植物, human(ヒュ́ーマン): 人間",自然・環境,beginner
animated,Animated,アニメの,,,運動・娯楽,intermediate
announcement,Announcement,announceすること,,,人・社会,intermediate
another,アナ́ザー,もう一つの,"""an"" と ""other"" から。","other(ア́ザー): 他の, different(ディ́ファレント): 違う",言語基本,beginner
answer,ア́ンサー,答える,"古英語の ""andswaru""(反対の誓い)が語源。","question(クウェ́スチョン): 質問, reply(リプラ́イ): 返事する",学校・学習,beginner
ant,ア́ント,アリ,"古英語 ""æmette""。派生: anthill(ア́ントヒル): アリ塚","insect(イ́ンセクト): 昆虫, colony(コ́ロニ): コロニー",人・社会,intermediate
any,エ́ニ,いくつかの,"古英語の ""ǣnig"" が語源。""one"" から派生。","some(サ́ム): いくつかの, no(ノ́ウ): 少しも〜ない",時間・数量,beginner
anymore,Anymore,もはや,,,人・社会,intermediate
anyone,Anyone,誰でも,,,人・社会,intermediate
anything,Anything,何でも,,,時間・数量,intermediate
anyway,Anyway,とにかく,,,人・社会,intermediate
anywhere,エ́ニウェア,どこでも,"any+""where""。派生: not anywhere(ノットエニウェア): どこにも〜ない","somewhere(サムウェア): どこか, everywhere(エヴリウェア): どこでも",場所・移動,intermediate
apologize,アポ́ロジャイズ,謝る,"ギリシャ語 ""apologia""(弁明)。派生: apology(アポロジー): 謝罪","excuse(イクスキューズ): 言い訳する, regret(リグレット): 後悔する",人・社会,intermediate
appear,アピア́ー,現れる,"ラテン語の ""apparere""(現れる)が語源。派生: apparent(アパ́レント): 明白な / appearance(アピア́ランス): 外見","show(ショ́ウ): 示す, seem(スィ́ーム): 〜のように見える",人・社会,beginner
apple,ア́ップル,りんご,"古英語の ""æppel"" が語源。派生: applesauce(ア́ップルソース): りんごソース / apple tree(ア́ップルツリー): りんごの木","fruit(フル́ート): 果物, pear(ペ́ア): 洋なし",人・社会,beginner
apply,アプラ́イ,適用する・申し込む / 申し込む・適用する,"ラテン語 ""applicare""(結びつける)。派生: application(アプリケイション): 応募 / apply for(アプライフォア): 申し込む","use(ユ́ーズ): 使う, request(リクウェ́スト): 申請する、request(リクウェスト): 要求する, use(ユーズ): 使う",人・社会,intermediate
April,April,4月,,,時間・数量,intermediate
apron,Apron,エプロン,,,人・社会,intermediate
aquarium,Aquarium,水族館,,,場所・移動,intermediate
are,ア́ー,〜です,be動詞の複数形・二人称現在形。派生: aren't(ア́ーント): 〜ではない,"is(イズ): です, were(ワー): でした, am(アム): です",言語基本,beginner
area,Area,地域,,,人・社会,intermediate
arm,ア́ーム,腕・武器,"古英語 ""earm""(腕)。派生: armed(アームド): 武装した / arm in arm(アームインアーム): 腕を組んで","weapon(ウェ́ポン): 武器, limb(リ́ム): 手足",食・健康,intermediate
around,Around,周りに,,,言語基本,intermediate
arrest,アレ́スト,逮捕する・停止 / 逮捕する,"ラテン語 ""arrestare""(止める)。派生: arrested(アレスティッド): 逮捕された / under arrest(アンダーアレスト): 逮捕されて","detain(ディテ́イン): 拘留する, capture(キャ́プチャー): 捕らえる、catch(キャッチ): 捕まえる, seize(シーズ): 捕らえる",人・社会,intermediate
arrive,アライ́ヴ,到着する,"古フランス語の ""arriver""(船が岸に着く)が語源。派生: arrival(アライ́ヴァル): 到着 / arrive at(アライ́ヴアット): 〜に到着する","reach(リ́ーチ): 到着する, come(カ́ム): 来る",場所・移動,beginner
art,ア́ート,芸術,"ラテン語の ""ars""(技)が語源。派生: artist(ア́ーティスト): 芸術家 / artistic(アーティ́スティック): 芸術的な","painting(ペ́インティング): 絵画, music(ミュ́ージック): 音楽",運動・娯楽,beginner
article,ア́ーティクル,記事・条項 / 記事・品物,"ラテン語 ""articulus""(小さな関節)。派生: definite article(デフィニットアーティクル): 定冠詞 / article of clothing(アーティクルオブクローシング): 衣類","item(ア́イテム): 項目, piece(ピ́ース): 記事、item(アイテム): 品目, piece(ピース): 一片",日常生活,intermediate
artist,ア́ーティスト,芸術家,"フランス語 ""artiste""。派生: artistic(アーティ́スティック): 芸術的な","painter(ペ́インター): 画家, creator(クリエ́イター): 創作者",場所・移動,intermediate
as,ア́ズ,〜なので・〜のように,"古英語の ""alswa"" に由来する機能語。派生: as if(ア́ズイフ): まるで〜のように / as soon as(ア́ズスーンアズ): 〜するとすぐに","since(シ́ンス): 〜なので, because(ビコ́ーズ): 〜なので",言語基本,beginner
Asian,Asian,アジアの,,,場所・移動,intermediate
ask,ア́スク,たずねる,"古英語の ""ascian"" が語源。派生: ask for(ア́スクフォア): 求める / asking(ア́スキング): 依頼","inquire(インクワ́イア): 尋ねる, question(クウェ́スチョン): 質問する",人・社会,beginner
astronaut,ア́ストロノート,宇宙飛行士,"ギリシャ語 ""astron""(星)+nautes(航海者)。派生: astronautics(アストロノーティクス): 宇宙航行学","cosmonaut(コ́ズモノート): 宇宙飛行士, spaceman(スペ́イスマン): 宇宙飛行士",自然・環境,intermediate
at,ア́ト,〜で,"古英語の ""æt"" が語源(機能語)。派生: at least(ア́ットリースト): 少なくとも / at first(ア́ットファースト): 最初は","in(イ́ン): 〜の中で, on(オ́ン): 〜の上で",言語基本,beginner
athlete,ア́スリート,運動選手,"ギリシャ語 ""athletes""(競技者)。派生: athletic(アスレティック): 運動の / athletics(アスレティックス): 陸上競技","sportsman(スポ́ーツマン): スポーツ選手, player(プレ́イヤー): 選手、player(プレイヤー): 選手, sportsman(スポーツマン): スポーツ選手",食・健康,intermediate
attach,アタ́ッチ,付ける・取り付ける / 取り付ける・付属させる,"古フランス語 ""atachier""(留める)。派生: attachment(アタッチメント): 付属品 / attach importance to(アタッチインポータンストゥー): 〜を重視する","fasten(ファ́スン): 留める, connect(コネクト): つなぐ、fasten(ファースン): 固定する, connect(コネクト): 接続する",人・社会,intermediate
attack,アタ́ック,攻撃・発作 / 攻撃する,"古フランス語 ""attaquer""。派生: attacker(アタッカー): 攻撃者 / under attack(アンダーアタック): 攻撃を受けて","assault(アソールト): 襲撃, offense(オフェ́ンス): 攻撃、assault(アソールト): 襲撃する, strike(ストライク): 打つ",人・社会,intermediate
attend,アテ́ンド,出席する・世話をする,"ラテン語 ""attendere""(注意を向ける)。派生: attendance(アテンダンス): 出席 / attend to(アテンドトゥー): 〜の世話をする","participate(パーティ́シペイト): 参加する, care for(ケ́アフォー): 世話をする、be present(ビープレゼント): 出席する, participate(パーティシペイト): 参加する",人・社会,intermediate
attention,アテ́ンション,注意・注目,"ラテン語 ""attentio""(注意)。派生: attentive(アテンティヴ): 注意深い / pay attention to(ペイアテンショントゥー): 〜に注意を払う","notice(ノ́ウティス): 注意, focus(フォ́ウカス): 焦点、care(ケア): 注意, focus(フォウカス): 焦点",食・健康,intermediate
attractive,アトラ́クティヴ,魅力的な・魅力のある,attract+ive。派生: attractively(アトラクティヴリ): 魅力的に,"appealing(アピ́ーリング): 魅力的な, charming(チャ́ーミング): 魅力的な",科学・技術,intermediate
audience,オ́ーディエンス,聴衆・観客,"ラテン語 ""audientia""(聴くこと)。派生: audience participation(オーディエンスパーティシペイション): 観客参加","spectators(スペクテ́イターズ): 観客, listeners(リ́スナーズ): 聴取者、spectator(スペクテイター): 観客, crowd(クラウド): 群衆",人・社会,intermediate
August,August,8月,,,時間・数量,intermediate
aunt,ア́ーント,おば,"ラテン語 ""amita""(父方のおば)。派生: great-aunt(グレイトアーント): 大おば","relative(レ́ラティヴ): 親戚, family(ファ́ミリ): 家族",人・社会,intermediate
Australia,Australia,オーストラリア,,,場所・移動,intermediate
average,ア́ヴァリッジ,平均・平均的な,"アラビア語 ""awariya""(損害)。派生: on average(オナヴァリッジ): 平均して / above average(アバヴアヴァリッジ): 平均以上","mean(ミ́ーン): 平均, typical(ティ́ピカル): 典型的な、mean(ミーン): 平均, normal(ノーマル): 普通の",人・社会,intermediate
away,アウェ́イ,離れて,"""on""+""way"" が語源。派生: go away(ゴ́ーアウェ́イ): 立ち去る / far away(ファ́ーアウェ́イ): 遠くに","apart(アパ́ート): 離れて, abroad(アブロ́ード): 海外へ",人・社会,beginner
awesome,Awesome,すごい,,,人・社会,intermediate
awful,オ́ーフル,ひどい・恐ろしい,"awe(畏敬)+""ful""(満ちた)。派生: awfully(オーフリ): ひどく","terrible(テ́リブル): ひどい, dreadful(ドレ́ッドフル): 恐ろしい、terrible(テリブル): ひどい, dreadful(ドレッドフル): 恐ろしい",人・社会,intermediate
baby,Baby,赤ちゃん,,,人・社会,intermediate
back,バ́ック,後ろに・戻って,"ゲルマン祖語の ""bakka"" が語源。派生: backward(バ́ックワード): 後ろ向き / backup(バ́ックアップ): 予備","return(リター́ン): 戻る, behind(ビハ́インド): 後ろに",時間・数量,beginner
bacON,Bacon,ベーコン,塩漬け乾燥した豚肉の薄切り加工食品。例: bacon and eggs(ベーコンエッグ)。,"ham(ハム): ハム, sausage(ソーセージ): ソーセージ",人・社会,beginner
bad,バ́ッド,悪い,"語源不詳(中英語 ""badde"")。派生: badly(バ́ドリ): ひどく / badness(バ́ドネス): 悪さ","good(グッ́ド): 良い, poor(プ́ア): 劣った",人・社会,beginner
badminton,Badminton,バドミントン,ラケットでシャトルを打ち合うネット型球技。例: play badminton(バドミントンをする)。,"tennis(テニス): テニス, volleyball(バレーボール): バレー",人・社会,beginner
bag,バ́ッグ,かばん,"古ノルド語の ""baggi"" が語源。派生: baggage(バ́ゲッジ): 手荷物 / baggy(バ́ギー): だぶだぶの","carry(ケ́アリ): 運ぶ, pocket(ポ́ケット): ポケット",人・社会,beginner
bake,Bake,焼く,オーブンや直火で加熱調理する。パンや菓子を焼くときに使う。,ベイク,人・社会,intermediate
baker,ベ́イカー,パン屋・パン職人,"bake(焼く) + -er。派生: bakery(ベ́イカリ): パン屋 / baker's dozen(ベイカーズダズン): 13個","cook(ク́ック): 料理人, chef(シェ́フ): シェフ",人・社会,intermediate
ball,ボ́ール,ボール,ゲルマン語系の語に由来。派生: balloon(バルー́ン): 風船 / ballgame(ボ́ールゲーム): 球技,"game(ゲ́ーム): 遊び, sport(スポ́ート): スポーツ",人・社会,beginner
banana,Banana,バナナ,,,人・社会,intermediate
bank,バ́ンク,土手・銀行,"イタリア語 ""banco""(ベンチ)。派生: riverbank(リヴァーバンク): 川岸 / savings bank(セイヴィングズバンク): 貯蓄銀行","shore(ショア): 岸, edge(エッジ): 縁",自然・環境,intermediate
barrier,バ́リアー,障壁・バリア,"古フランス語 ""barriere""(柵)。派生: trade barrier(トレイドバリアー): 貿易障壁","obstacle(オ́ブスタクル): 障害, fence(フェ́ンス): 柵、obstacle(オブスタクル): 障害, fence(フェンス): 柵",日常生活,intermediate
base,ベ́イス,基礎,"ギリシャ語の ""basis""(基)が語源。派生: basic(ベ́イシック): 基本の / basis(ベ́イシス): 基盤","foundation(ファウンデ́イション): 土台, ground(グラ́ウンド): 基礎",人・社会,beginner
baseball,Baseball,野球,,,運動・娯楽,intermediate
basketball,Basketball,バスケットボール,,,場所・移動,intermediate
bath,Bath,入浴・風呂,身体を湯や水で洗う行為/その設備。例: take a bath(入浴する)。,"shower(シャワー): シャワー, tub(タブ): 浴槽",自然・環境,beginner
bathroom,Bathroom,浴室,,,人・社会,intermediate
be,ビ́ー,〜である・いる,"古英語 ""beon""。派生: being(ビ́ーイング): 存在","am(アム): です, is(イズ): です, are(アー): です",言語基本,beginner
beach,Beach,砂浜・海岸,海・湖の波でできた砂地。例: go to the beach(海へ行く)。,"coast(コースト): 海岸, shore(ショア): 岸",自然・環境,beginner
bean,Bean,豆,食用になる小さな種子。例: coffee bean(コーヒー豆)。,"pea(ピー): エンドウ豆, lentil(レンズ豆): レンズ豆",食・健康,beginner
bear,ベ́ア,耐える・生む,"古英語 ""beran""(運ぶ)。派生: bearable(ベアラブル): 耐えられる","endure(エンデュア): 耐える, carry(キャリ): 運ぶ, tolerate(トーレレイト): 我慢する",人・社会,intermediate
beat,ビ́ート,打つ・打ち負かす,"古英語 ""beatan""。派生: beating(ビーティング): 殴打 / heartbeat(ハートビート): 鼓動","hit(ヒット): 打つ, defeat(ディフィート): 打ち負かす, rhythm(リズム): リズム",運動・娯楽,intermediate
beautiful,Beautiful,beautiに満ちた,,,人・社会,intermediate
beauty,Beauty,美しさ,魅力的な外見や性質。例: natural beauty(自然美)。,"beautiful(ビューティフル): 美しい, charm(チャーム): 魅力",人・社会,intermediate
because,ビコ́ーズ,〜なので,"""by""+""cause"" が語源。派生: cause(コ́ーズ): 原因 / causal(コ́ーザル): 原因の","since(シ́ンス): 〜なので, as(ア́ズ): 〜なので",言語基本,beginner
become,ビカ́ム,〜になる,"""be""+""come"" が語源。派生: becoming(ビカ́ミング): 似合う / outcome(ア́ウトカム): 結果","turn into(ターンイ́ントゥ): 〜に変わる, grow(グロ́ウ): 成長する",人・社会,beginner
bed,ベ́ッド,ベッド,"古英語の ""bedd"" が語源。派生: bedroom(ベ́ドルーム): 寝室 / bedtime(ベ́ッドタイム): 就寝時間","sleep(スリ́ープ): 眠る, pillow(ピ́ロー): 枕",日常生活,beginner
bedroom,Bedroom,寝室,,,人・社会,intermediate
bee,Bee,ハチ,蜜や花粉を集める昆虫。例: honey bee(ミツバチ)。,"insect(インセクト): 昆虫, wasp(ワスプ): スズメバチ",人・社会,beginner
beef,Beef,牛肉,牛の肉。例: beef steak(ビーフステーキ)。,"pork(ポーク): 豚肉, chicken(チキン): 鶏肉",自然・環境,beginner
before,ビフォ́ー,〜の前に,"""be""+""fore""(前) が語源。派生: beforehand(ビフォ́アハンド): 前もって / forefront(フォ́アフロント): 最前線","after(ア́フター): 後に, prior to(プラ́イアトゥ): 〜より前に",時間・数量,beginner
begin,ビギ́ン,始める,"古英語の ""beginnan"" が語源。派生: beginning(ビギ́ニング): 始まり / beginner(ビギ́ナー): 初心者","start(スタ́ート): 始める, commence(コメ́ンス): 開始する",人・社会,beginner
beginner,ビギ́ナー,初心者・初級者,"begin(始める) + -er。派生: beginner's luck(ビギナーズラック): ビギナーズラック","novice(ノ́ヴィス): 初心者, expert(エ́クスパート): 専門家",人・社会,intermediate
behavior,Behavior,行動,,,人・社会,intermediate
behind,ビハ́インド,〜の後ろに,"古英語の ""behindan"" が語源。派生: hind(ハ́インド): 後ろの / hindmost(ハ́インドモウスト): 最後部の","back(バ́ック): 後ろ, rear(リ́ア): 後部",時間・数量,beginner
believe,ビリ́ーヴ,信じる,"古英語の ""gelīfan"" が語源。""lief""(愛しい)に由来。派生: belief(ビリ́ーフ): 信念 / believable(ビリ́ーヴァブル): 信じられる","trust(トラ́スト): 信頼する, doubt(ダ́ウト): 疑う",人・社会,beginner
below,ビロ́ウ,〜の下に,"古英語の ""belōwan"" が語源。派生: low(ロ́ウ): 低い / lower(ロ́ウアー): より低い","under(ア́ンダー): 下に, beneath(ビニ́ース): 下に",場所・移動,beginner
bench,Bench,ベンチ,屋外や公共施設にある長い腰掛け。例: sit on a bench(ベンチに座る)。,"seat(シート): 座席, chair(チェア): いす",人・社会,beginner
besides,ビサ́イズ,〜に加えて・その上,"by+""side""+""s""。派生: besides that(ビサイズザット): それに加えて","in addition(インアディション): さらに, moreover(モアオウヴァー): その上",場所・移動,intermediate
best,ベ́スト,最も良い,"形容詞 ""good"" の最上級。派生: better(ベ́ター): より良い / bestseller(ベストセ́ラー): ベストセラー","greatest(グレ́イテスト): 最大の, top(トッ́プ): 最高の",人・社会,beginner
better,ベ́ター,より良い,"形容詞 ""good"" の比較級。派生: betterment(ベ́ターメント): 改善 / get better(ゲットベ́ター): 良くなる","improve(インプル́ーブ): 改善する, worse(ワ́ース): より悪い",人・社会,beginner
between,ビトゥイ́ーン,〜の間に,"古英語の ""betwēonum""。""two""(二)に由来。派生: in-between(インビトゥイ́ーン): 中間の / between A and B(ビトゥイ́ーンエ́ーアンドビ́ー): AとBの間で","among(アマ́ング): 〜の間で, middle(ミ́ドル): 中間",言語基本,beginner
beyond,Beyond,〜を越えて,,,人・社会,intermediate
bicycle,Bicycle,自転車,,,場所・移動,intermediate
big,ビ́ッグ,大きい,語源不詳。派生: bigger(ビ́ガー): より大きい / biggest(ビ́ゲスト): 最も大きい,"large(ラ́ージ): 大きい, small(スモ́ール): 小さい",人・社会,beginner
bike,Bike,自転車,ペダルをこいで進む二輪車。例: ride a bike(自転車に乗る)。,"bicycle(バイシクル): 自転車, motorbike(モーターバイク): オートバイ",場所・移動,beginner
bird,バ́ード,鳥,"古英語の ""brid"" が語源。派生: birdie(バ́ーディー): 小鳥 / birdwatching(バ́ードウォッチング): 野鳥観察","wing(ウィ́ング): つばさ, fly(フラ́イ): 飛ぶ",自然・環境,beginner
birthday,Birthday,誕生日,,,時間・数量,intermediate
bit,Bit,少し・わずか,ごく小さい量。例: a bit of(少しの)。,"piece(ピース): 断片, little(リトル): 少し",人・社会,beginner
bitter,ビ́ター,苦い・つらい,"古英語 ""biter""。派生: bitterness(ビターネス): 苦味 / bitterly(ビターリ): ひどく","sour(サウアー): すっぱい, harsh(ハーシュ): 厳しい",食・健康,intermediate
black,ブラ́ック,黒い,"ゲルマン語系 ""blakaz""(焼け焦げた)に由来。派生: blacken(ブラ́ッケン): 黒くする / blackout(ブラ́ックアウト): 停電","white(ホワ́イト): 白い, dark(ダ́ーク): 暗い",人・社会,beginner
block,ブロ́ック,ブロック・妨げる,"古フランス語 ""bloc""(丸太)。派生: blockade(ブロケイド): 封鎖","obstacle(オブスタクル): 障害, prevent(プリヴェント): 妨げる",人・社会,intermediate
blow,ブロ́ウ,吹く・強打,"古英語 ""blawan""(吹く)。派生: blow up(ブロウアップ): 爆発する / blow out(ブロウアウト): 吹き消す","wind(ウィンド): 風, strike(ストライク): 打つ",人・社会,intermediate
blue,ブル́ー,青い,"フランス語の ""bleu"" が語源。派生: bluish(ブル́ーイッシュ): 青みがかった / blueberry(ブ́ルーベリー): ブルーベリー","green(グリ́ーン): 緑, sky(スカ́イ): 空",人・社会,beginner
board,ボ́ード,板・委員会,"古英語 ""bord""(板)。派生: board of directors(ボードオブディレクターズ): 取締役会 / on board(オンボード): 乗船して","plank(プラ́ンク): 板, committee(コミティ): 委員会",人・社会,beginner
boat,ボ́ート,舟,"古英語の ""bāt"" が語源。派生: boating(ボ́ーティング): 舟遊び / lifeboat(ラ́イフボート): 救命ボート","ship(シッ́プ): 船, river(リ́バー): 川",人・社会,beginner
body,ボ́ディ,体・本体,"古英語の ""bodig"" が語源。派生: bodily(ボ́ドリ): 身体の / bodyguard(ボ́ディガード): 護衛","head(ヘ́ッド): 頭, health(ヘ́ルス): 健康",食・健康,beginner
bomb,Bomb,爆弾,爆発して破壊する兵器。例: drop a bomb(爆弾を落とす)。,"explosion(イクスプロージョン): 爆発, weapon(ウェポン): 武器",人・社会,intermediate
book,ブ́ック,本,"古英語の ""bōc""(書かれたもの)が語源。派生: booklet(ブ́ックレット): 小冊子 / bookshelf(ブ́ックシェルフ): 本棚","read(リ́ード): 読む, library(ラ́イブラーリ): 図書館",学校・学習,beginner
bookstore,Bookstore,書店,,,場所・移動,intermediate
border,ボ́ーダー,国境・縁,"古フランス語 ""bordure""(縁)。派生: cross the border(クロスザボーダー): 国境を越える","boundary(バウンダリ): 境界, edge(エッジ): 縁",場所・移動,intermediate
