語句,読み,意味,語源等解説,関連語,関連分野,難易度
a piece of,ə piece oʊf (ア ピース オヴ),一片の,a piece of の詳しい用法を追加してください。,,人・社会,intermediate
a - variety of,ə - vəriety oʊf (ア ヴァラエティ オヴ),様々な,a - variety of の詳しい用法を追加してください。,,人・社会,intermediate
according to ~,əˈkɔːdɪŋ tuː (アコーディング トゥー),〜によれば,according(一致して・従って)と to(〜に)の組み合わせ。情報源や基準を示す表現。例: According to the news(ニュースによれば)、According to the plan(計画に従って)。,,人・社会,intermediate
after a while,əftɜː ə while (アフター ア ホワイル),しばらくして,after(〜の後)と a while(しばらくの間)の組み合わせ。時間が経過してから何かが起こることを示す。物語の展開でよく使われる表現。,,人・社会,intermediate
after all,ˈæftə(r) ɔːl (アフター オール),結局,after(〜の後)と all(全て)の組み合わせ。「全てが終わった後」から「結局・やはり」の意味に。予想と違う結果や、最終的な結論を示す。,,人・社会,intermediate
after school,ˈæftə(r) skuːl (アフター スクール),放課後,after(〜の後)と school(学校)の組み合わせ。学校が終わった後の時間帯。before school(登校前)、during school(授業中)とセットで覚えると良い。,,時間・数量,intermediate
agree with ~,əˈɡriː wɪð (アグリー ウィズ),〜に同意する,agree(同意する)と with(〜と)の組み合わせ。人の意見や提案に賛成すること。例: I agree with you.(あなたに同意します)。disagree with(反対する)と対で覚える。,,人・社会,intermediate
all over,ɔːl ˈəʊvə (オール オウヴァ),至る所に,all(全て)と over(〜の上に・一面に)の組み合わせ。「全体にわたって」から「あちこちに・至る所に」の意味。all over the world(世界中に)と合わせて覚える。,,場所・移動,intermediate
all over the world,ɔːl ˈəʊvə ðə wɜːld (オール オウヴァ ザ ワールド),世界中に,all over(至る所に)に the world(世界)を続けた表現。地球全体、あらゆる国を指す。例: English is spoken all over the world.(英語は世界中で話されている)。,,場所・移動,intermediate
All right.,ɔːl raɪt (オール ライト),大丈夫,all(全て)と right(正しい)の組み合わせ。『全て正しい』から『問題ない・了解』の意味に。相手の提案に同意したり、状況が良好であることを示す。Okay や Sure と同じように使える。,,人・社会,intermediate
all the time,ɔːl ðə taɪm (オール ザ タイム),いつも,all(全て)と the time(その時間)の組み合わせ。『全ての時間』から『いつも・常に』の意味に。always と同じ意味だが、口語的でより強調した響き。例: He's on his phone all the time.(彼はいつも携帯を見ている)。,,人・社会,intermediate
and so on,ənd soʊ oʊn (アンド ソー オン),など,and(そして)、so(そのように)、on(続いて)の組み合わせ。『そしてそのように続く』から『など・等々』の意味。列挙した項目がまだ続くことを示す。etc. や and so forth と同じ意味。例: I like apples, oranges, and so on.(リンゴ、オレンジなどが好きです)。,,人・社会,intermediate
arrive at ~,ərrive ət (アラ́イヴ ア́ット),〜に到着する,arrive(到着する)と at(〜に)の組み合わせ。目的地に着くという意味。,"reach(リ́ーチ): 到達する, get to(ゲ́ットトゥ): 着く",場所・移動,beginner
as a result of,əs ə result oʊf (アズ ア リザルト オヴ),〜の結果として,as(〜として)、a result(結果)、of(〜の)の組み合わせ。原因と結果の関係を明示する表現。例: As a result of the rain, the game was cancelled.(雨の結果、試合は中止された)。because of や due to と似ているが、より形式的な響き。,,人・社会,intermediate
as for,əs foʊr (アズ フォー),〜については,as(〜として)と for(〜に関して)の組み合わせ。話題を変える時や、特定の事柄について言及する時に使う。例: As for me, I disagree.(私に関して言えば、反対です)。concerning や regarding と似た意味。,,人・社会,intermediate
ask for ~,əsk foʊr (ア́スク フォ́ー),〜を求める,ask(頼む)と for(〜を)の組み合わせ。何かをくださいと言うという意味。,"request(リクウェ́スト): 要求する, seek(スィ́ーク): 求める",人・社会,beginner
at first,ət fɜːst (アット ファースト),最初は,at(〜において)と first(最初)の組み合わせ。物事の始まりの時点を示す。後で状況が変わることを暗示することが多い。例: At first I didn't like it, but now I do.(最初は好きじゃなかったけど、今は好きです)。at last(ついに)と混同しないよう注意。,,時間・数量,intermediate
at home,ət hoʊme (アット ホーム),家で,at(〜において)と home(家)の組み合わせ。文字通り『家にいる』という意味のほか、『くつろいでいる・慣れている』という比喩的な意味もある。例: I feel at home here.(ここではくつろげる)。at work(職場で)、at school(学校で)と対比して覚える。,,場所・移動,intermediate
at least,ət leəst (アット リースト),少なくとも,at(〜において)と least(最も少ない)の組み合わせ。『最小限、少なくとも』という意味。例: I need at least $10.(少なくとも10ドル必要です)。at most(せいぜい)と対比して覚える。,,人・社会,intermediate
at night,ət naɪt (アット ナイト),夜に,at(〜において)と night(夜)の組み合わせ。夜間の時間帯を示す。例: Stars shine at night.(夜に星が輝く)。注意: in the morning/afternoon/evening と異なり、at night は the を使わない。比較: during the day(日中に)。,,時間・数量,intermediate
at the time,ət θe taɪm (アット ザ タイム),その時,at(〜において)、the time(その時間)の組み合わせ。過去の特定の時点を指す。例: I was young at the time.(その時は若かった)。at that time とほぼ同じ意味。比較: at this time(今は)、at times(時々)。,,時間・数量,intermediate
be able to ~,be əble toʊ (ビー エイブル トゥ),〜できる,be、able(能力がある)、to(これから)の組み合わせ。can と同じ『〜できる』という意味だが、be able to は時制変化が可能(was able to, will be able to)。例: I was able to finish it.(私はそれを終えることができた)。can は未来形がないため、will be able to を使う。,,人・社会,intermediate
be about to ~,be əboʊut toʊ (ビー アバウト トゥ),今にも〜しようとしている、まさに〜するところだ,"be、about(〜しかけて)、to(これから)の組み合わせ。「今まさに〜しようとしている」という直前の状態を表す。例: I'm about to leave.(今まさに出発するところだ)、The train is about to depart.(電車が今にも出発しようとしている)","be going to(これから〜する予定), be ready to(〜する準備ができている), be on the point of(まさに〜しようとしている)",時間・数量,intermediate
be afraid of ~,be əfrəid oʊf (ビー アフレ́イド オヴ),〜を恐れる,be、afraid(怖がって)、of(〜を)の組み合わせ。恐怖を感じるという意味。,"fear(フィ́ア): 恐れる, be scared of(ビースケ́アドオヴ): 〜が怖い",人・社会,beginner
be amazed at ~,be əməzed ət (ビー アメイズド アット),〜に驚く・驚嘆する,be、amazed(驚いた)、at(〜に)の組み合わせ。驚きや感嘆を表す。be amazed at の詳しい用法を追加してください。,"be surprised at(ビーサプラ́イズドア́ット): 〜に驚く, be astonished at(ビーアストニッシュトア́ット): 〜に仰天する",人・社会,intermediate
be born,be boʊrn (ビー ボーン),生まれる,be born の詳しい用法を追加してください。,,人・社会,intermediate
be careful with ~,be cəreful wiθ (ビー ケアフル ウィズ),〜に注意する・気をつける,be、careful(注意深い)、with(〜に対して)の組み合わせ。慎重に扱うという意味。be careful with の詳しい用法を追加してください。,"be cautious with(ビーコ́ーシャスウィズ): 〜に用心する, watch out for(ウォ́ッチアウトフォア): 〜に気をつける",人・社会,intermediate
be different from ~,be diffɜːent froʊm (ビー ディ́ファレント フロ́ム),〜と異なる,be、different(異なる)、from(〜と)の組み合わせ。違いがあるという意味。,"differ from(ディ́ファーフロム): 〜と異なる, vary from(ヴェ́アリフロム): 〜と変わる",人・社会,beginner
be familiar to ~,be fəmiliər toʊ (ビー ファミリアー トゥ),〜によく知られている,be、familiar(なじみのある)、to(〜にとって)の組み合わせ。主語(物事)が〜に知られているという意味。例: His face is familiar to me.(彼の顔は私にとって見覚えがある)。注意: be familiar with ~ は『人が〜をよく知っている』で主語が人。,"be known to(ビーノ́ウントゥ): 〜に知られている, be familiar with(ビーファミリアーウィズ): 〜をよく知っている",人・社会,intermediate
be famous for ~,be fəmoʊus foʊr (ビー フェ́イマス フォ́ー),〜で有名である,be、famous(有名な)、for(〜で)の組み合わせ。よく知られているという意味。,"be well-known for(ビーウェ́ルノ́ウンフォア): 〜で有名である, be renowned for(ビーリナ́ウンドフォア): 〜で名高い",人・社会,beginner
be filled with ~,be filled wiθ (ビー フィルド ウィズ),〜で満たされる,be、filled(満たされた)、with(〜で)の組み合わせ。fill(満たす)の受身形で「(何かが)満たされている」という状態。例: The room was filled with people.(部屋は人でいっぱいだった)。be full of ~ と似ているが、be filled with は動的な「満たされる過程」を強調。,,人・社会,intermediate
be full of ~,be full oʊf (ビー フ́ル オヴ),〜でいっぱいである,be、full(満ちた)、of(〜で)の組み合わせ。満ちているという意味。,"be filled with(ビーフィ́ルドウィズ): 〜で満たされている, be packed with(ビーパ́クトウィズ): 〜で詰まっている",人・社会,beginner
be good at ~,be goʊoʊd ət (ビー グ́ッド ア́ット),〜が得意である,be、good(上手な)、at(〜において)の組み合わせ。能力が高いという意味。,"excel at(イクセ́ルア́ット): 〜に秀でる, be skilled at(ビースキ́ルドア́ット): 〜が上手である",人・社会,beginner
be in trouble,be in troʊuble (ビー イン トラブル),困っている・トラブルに巻き込まれている,be、in(〜の中に)、trouble(困難)の組み合わせ。「困難の中にいる」から「問題を抱えている・困っている」の意味。例: I'm in trouble.(困っています)。get into trouble(トラブルに巻き込まれる)と対比して覚える。,"have problems(ハヴプロ́ブレムズ): 問題を抱えている, be in difficulty(ビーインディフィカルティ): 困難な状況にある",人・社会,intermediate
be interested in ~,be intɜːested in (ビー イ́ンタレスティド イ́ン),〜に興味がある,be、interested(興味を持った)、in(〜に)の組み合わせ。関心があるという意味。,"be curious about(ビーキュ́アリアスアバウト): 〜に好奇心がある, be keen on(ビーキ́ーンオン): 〜に熱心である",食・健康,beginner
be proud of ~,be proʊud oʊf (ビー プラ́ウド オヴ),〜を誇りに思う,be、proud(誇らしい)、of(〜を)の組み合わせ。自慢に思うという意味。,"take pride in(テ́イクプラ́イドイン): 〜を誇る, boast of(ボ́ウストオヴ): 〜を自慢する",人・社会,beginner
be ready for ~,be reədy foʊr (ビー レ́ディ フォ́ー),〜の準備ができている,be、ready(準備ができた)、for(〜の)の組み合わせ。用意が整っているという意味。,"be prepared for(ビープリペアドフォア): 〜の準備ができている, be set for(ビーセットフォア): 〜の準備万端である",日常生活,beginner
be ready to ~,be reədy toʊ (ビー レディ トゥ),〜する準備ができている・〜する用意がある,be、ready(準備ができた)、to(これから)の組み合わせ。何かをする準備が整っている状態。例: I'm ready to go.(行く準備ができています)。be ready for ~(名詞)と違い、be ready to ~(動詞)は行動を表す。be willing to(喜んで〜する)との違いに注意。,"be prepared to(ビープリペ́アドトゥ): 〜する準備ができている, be willing to(ビーウィリングトゥ): 〜する意志がある",人・社会,intermediate
be satisfied with ~,be sətisfied wiθ (ビー サ́ティスファイド ウィズ),〜に満足している,be、satisfied(満足した)、with(〜に)の組み合わせ。納得しているという意味。,"be content with(ビーコンテ́ントウィズ): 〜に満足している, be pleased with(ビープリ́ーズドウィズ): 〜に喜んでいる",食・健康,beginner
be tired of ~,be tɜːed oʊf (ビー タ́イアド オヴ),〜にうんざりする,be、tired(疲れた)、of(〜に)の組み合わせ。飽き飽きするという意味。,"be sick of(ビースィ́ックオヴ): 〜にうんざりする, be fed up with(ビーフェ́ッドア́ップウィズ): 〜にうんざりする",人・社会,beginner
because of ~,bɪˈkɒz (ビコ́ーズ オ́ブ),〜のために,because(なぜなら)と of(〜の)の組み合わせ。接続詞 because に対し、because of は名詞の前に置く前置詞句。原因・理由を示す。例: I stayed home because of the rain.(雨のため家にいた)。due to や owing to と似た意味。,,人・社会,intermediate
belong to ~,beloʊŋ toʊ (ビロ́ング トゥ),〜に属する,belong(属する)と to(〜に)の組み合わせ。所有や所属を示すという意味。,"be owned by(ビーオ́ウンドバ́イ): 〜に所有される, be part of(ビーパ́ートオヴ): 〜の一部である",人・社会,beginner
between A and B,bɪˈtwiːn eɪ ænd biː (ビトウィーン エイ アンド ビー),AとBの間に,between(2つの間に)、A、and(と)、Bの組み合わせ。二つのものの間の位置や関係を示す。例: I sat between Tom and Mary.(トムとメアリーの間に座った)。三つ以上の場合は among を使う。,,人・社会,intermediate
both A and B,bəʊθ eɪ ænd biː (ボウス エイ アンド ビー),AもBも両方,both(両方)、A、and(と)、Bの組み合わせ。二つのものがどちらも該当することを強調する。例: Both Tom and Mary are students.(トムもメアリーも生徒です)。対照: neither A nor B(両方とも違う)、either A or B(どちらか)。,,人・社会,intermediate
bring back ~,briŋ bəck (ブリ́ング バ́ック),〜を持ち帰る・思い出させる,bring(持ってくる)と back(後ろに)の組み合わせ。元の場所に戻す、または記憶を呼び起こすという意味。,"return(リタ́ーン): 返す, remind(リマ́インド): 思い出させる",場所・移動,beginner
by the way,baɪ ðə weɪ (バイ ザ ウェイ),ところで,by(〜によって)、the way(道・方法)の組み合わせ。文字通りは「道の働らで」から、話題を変える時に使う「ところで・そういえば」の意味に。例: By the way, where is Tom?(ところで、トムはどこ？)。,,人・社会,intermediate
Call me ~,kɔːl miː (コール ミー),私に電話して・連絡して,call(電話する・呼ぶ)と me(私に)の組み合わせ。相手に自分に電話や連絡をするよう依頼する表現。例: Call me later.(後で電話して)。また、「私を〜と呼んでください」という意味でも使える。例: Call me Bob.(ボブと呼んで)。,"contact me(コ́ンタクトミー): 連絡して, phone me(フォウンミー): 電話して",人・社会,intermediate
Can I,kæn aɪ (キャン アイ),私は〜してもいいですか,Can(できる・してもよい)と I(私)の組み合わせ。許可を求める丁寧な表現。例: Can I use your pen?(ペンを使ってもいいですか)。May I より少しカジュアル。Could I はさらに丁寧な表現。,,人・社会,intermediate
Can you,kæn juː (キャン ユー),あなたは〜できますか,Can(できる)と you(あなた)の組み合わせ。能力を尋ねる、または依頼する表現。例: Can you help me?(手伝ってもらえますか)。Could you はより丁寧な依頼。Will you は意志を尋ねる表現。,,人・社会,intermediate
come back,kʌm bæk (カム バック),戻る,come(来る)と back(後ろへ・戻って)の組み合わせ。元の場所に戻ることを示す。例: Come back soon!(早く戻ってきて)。go back(戻る・帰る)は話し手から離れて戻る時に使う。return とほぼ同じ意味。,,人・社会,intermediate
come from ~,coʊme froʊm (カ́ム フロ́ム),〜出身である・由来する,come(来る)と from(〜から)の組み合わせ。出身地や起源を示すという意味。,"originate from(オリ́ジネイトフロム): 由来する, be from(ビーフロム): 〜出身である",人・社会,beginner
come in,kʌm ɪn (カム イン),入る,come(来る)と in(中に)の組み合わせ。建物や部屋の中に入ることを示す。例: Come in, please.(どうぞお入りください)。go in(入る)は話し手から離れて入る時に使う。enter より口語的。,,人・社会,intermediate
come true,kʌm truː (カム トゥルー),実現する,come(来る・なる)と true(本当の)の組み合わせ。「本当になる」から「夢や願いが実現する」という意味。例: My dream came true.(私の夢が叶った)。主語は通常、dream(夢)、wish(願い)、hope(希望)など。,,自然・環境,intermediate
Could you,kʊd juː (クッド ユー),〜していただけますか,Could(できた・できるだろう)と you(あなた)の組み合わせ。Can you より丁寧な依頼表現。過去形を使うことで控えめな印象を与える。例: Could you open the window?(窓を開けていただけますか)。Would you も同様に丁寧だが、意志を尋ねるニュアンス。,,人・社会,intermediate
decide to ~,dɪˈsaɪd tuː (ディサイド トゥー),〜することを決心する・決める,decide(決める)と to(これから)の組み合わせ。迷いや選択肢の中から行動を決断することを示す。例: I decided to study abroad.(留学することに決めた)。decide on ~(名詞)は「〜に決める」。make a decision(決定を下す)と関連。,"make up one's mind to(メイクアップワンズマインドトゥ): 〜すると決心する, determine to(ディタ́ーミントゥ): 決意する",人・社会,intermediate
depend on ~,depend oʊn (ディペ́ンド オ́ン),〜に頼る・〜次第である,depend(依存する)と on(〜に)の組み合わせ。誰かに頼る、または何かによって決まるという意味。,"rely on(リラ́イオン): 頼る, count on(カ́ウントオン): 当てにする",時間・数量,beginner
die out,daɪ aʊt (ダイ アウト),絶滅する,die(死ぬ)と out(完全に)の組み合わせ。「完全に死に絶える」から「絶滅する・消滅する」の意味。生物種や習慣などが完全になくなることを示す。例: Dinosaurs died out millions of years ago.(恐竜は何百万年も前に絶滅した)。become extinct とほぼ同じ意味。,,人・社会,intermediate
do one's best,duː wʌnz best (ドゥー ワンズ ベスト),最善を尽くす,do(する)、one's(自分の)、best(最善)の組み合わせ。「自分の最善をする」から「全力を尽くす・頑張る」の意味。例: I'll do my best.(最善を尽くします)。try one's best や do one's utmost も同じ意味。日本語の「頑張る」に相当。,,人・社会,intermediate
do well,duː wel (ドゥー ウェル),うまくやる・好調である,do(する)と well(うまく・良く)の組み合わせ。物事が順調に進む、または良い成果を出すことを示す。例: He did well on the test.(彼はテストで良い成績を取った)。do badly(うまくいかない)と対比。succeed や perform well とほぼ同じ意味。,"succeed(サクシ́ード): 成功する, perform well(パーフォ́ームウェル): うまくやる",人・社会,intermediate
don't have to,dəʊnt hæv tuː (ドウント ハブ トゥー),〜する必要はない,don't(〜しない)、have to(〜しなければならない)の組み合わせ。have to(義務)の否定形で「義務がない」という意味。例: You don't have to come.(来なくてもいいです)。must not(禁止)との違いに注意。need not も同じ意味。,,人・社会,intermediate
each other,iːtʃ ˈʌðə (イーチ アザー),お互いに,each(各々の)と other(他の)の組み合わせ。二人以上が相互に同じ行為をすることを示す。例: They help each other.(彼らはお互いに助け合う)。二人の場合は each other、三人以上では one another を使うこともあるが、現代英語では区別されないことが多い。,,人・社会,intermediate
eat out,iːt aʊt (イート アウト),外食する,eat(食べる)と out(外で)の組み合わせ。家ではなくレストランなど外で食事をすることを示す。例: Let's eat out tonight.(今夜は外食しよう)。eat in(家で食べる)、dine out(外食する・より正式)と対比して覚える。,,場所・移動,intermediate
encourage A to B,ɪnˈkʌrɪdʒ eɪ tuː biː (エンカレッジ エイ トゥー ビー),AにBするよう励ます,encourage(励ます)、A(人)、to B(Bすること)の組み合わせ。誰かに何かをするよう勇気づける・助言することを示す。例: She encouraged me to try again.(彼女は私にもう一度試すよう励ましてくれた)。discourage A from B(思いとどまらせる)と対比。,,人・社会,intermediate
even if,ˈiːvən ɪf (イーヴン イフ),たとえ〜でも,even(〜でさえ)と if(もし〜なら)の組み合わせ。「たとえ〜でも」という譲歩の意味。仮定の状況を示す。例: Even if it rains, I'll go.(たとえ雨が降っても、行きます)。even though(〜にもかかわらず)は事実を示すのに対し、even if は仮定。,,人・社会,intermediate
every day,ˈevri deɪ (エヴリ デイ),毎日,every(毎〜)と day(日)の組み合わぞ。例外なくすべての日にという意味。例: I study English every day.(毎日英語を勉強します)。注意: everyday(形容詞)は「日常の」という別の意味。every week(毎週)、every month(毎月)、every year(毎年)も同様に使う。,,時間・数量,intermediate
Excuse me.,ɪkˈskjuːs miː (エクスキューズ ミー),すみません,Excuse(許す)と me(私を)の組み合わせ。文字通りは「私を許してください」。誰かに話しかける時、道を通る時、注意を引く時などに使う丁寧な表現。例: Excuse me, where is the station?(すみません、駅はどこですか)。I'm sorry は謝罪、Excuse me は声かけ。,,人・社会,intermediate
fall down,fɔːl daʊn (フォール ダウン),落ちる,fall(落ちる)と down(下へ)の組み合わせ。高いところから下に落ちる、または転ぶことを示す。例: He fell down the stairs.(彼は階段から落ちた)。fall over(転ぶ)、fall off(〜から落ちる)と関連づけて覚える。,,人・社会,intermediate
far away,fər əwəy (ファ́ー アウェ́イ),遠くに,far(遠い)と away(離れて)の組み合わせ。距離が離れているという意味。,"distant(ディ́スタント): 遠い, remote(リモ́ウト): 遠く離れた",人・社会,beginner
feel free to ~,fiːl friː tuː (フィール フリー トゥー),遠慮なく〜してください・気軽に〜してください,feel(感じる)、free(自由な)、to(これから)の組み合わせ。「自由だと感じて」から「遠慮なく〜してください」という意味。相手に気軽に行動してもらうよう促す表現。例: Feel free to ask questions.(遠慮なく質問してください)。,"please(プリーズ): どうぞ, don't hesitate to(ドウントヘジテイトトゥ): 避けずに〜してください",人・社会,intermediate
feel like -ing,fiːl laɪk -ɪŋ (フィール ライク イング),〜したい気分だ・〜する気がする,feel(感じる)、like(〜のように)、-ing(〜すること)の組み合わせ。何かをしたいという気持ちや欲求を表す。例: I feel like eating pizza.(ピザが食べたい気分です)。want to よりもカジュアルで、その瞬間の気分を表す。,"want to(ウォ́ントトゥ): 〜したい, be in the mood for(ビーインザムードフォア): 〜する気分である",人・社会,intermediate
for a long time,fɔːr ə lɔŋ taɪm (フォー ア ロング タイム),長い間,for(〜の間)、a long time(長い時間)の組み合わせ。長期間にわたる時間を示す。例: I've lived here for a long time.(長い間ここに住んでいます)。for a while(しばらくの間)、for ages(長い間・口語的)と関連づけて覚える。,,人・社会,intermediate
for example,fɔːr ɪɡˈzæmpəl (フォー イグザンプル),例えば,for(〜のために)と example(例)の組み合わせ。具体例を示す時に使う表現。例: Many fruits, for example, apples and oranges.(多くの果物、例えばリンゴやオレンジ)。e.g.(ラテン語 exempli gratia の略)、for instance と同じ意味。,,人・社会,intermediate
for the first time,fɔːr ðə fɜːst taɪm (フォー ザ ファースト タイム),初めて,for(〜の間)、the first time(最初の時)の組み合わせ。人生で初めて何かを経験することを示す。例: I visited Japan for the first time.(初めて日本を訪れました)。for the last time(最後に)と対比して覚える。,,人・社会,intermediate
get off,ɡet ɔːf (ゲット オフ),降りる,get(なる・する)と off(離れて)の組み合わせ。乗り物から降りることを示す。例: Get off at the next stop.(次の停留所で降りてください)。get on(乗る)と対比して覚える。他にも「仕事を終える」という意味もある。,,場所・移動,intermediate
get to ~,ɡet tuː (ゲット トゥー),〜する機会がある・〜に到着する,get(得る・なる)と to(〜へ)の組み合わせ。二つの主な意味: ①何かをする機会を得る、②場所に到達する。例: I got to meet the president.(社長に会う機会があった)、When did you get to Tokyo?(いつ東京に着きましたか)。arrive at とほぼ同じ意味。,"arrive at(アラ́イヴア́ット): 〜に到着する, have the chance to(ハヴザチャンストゥ): 〜する機会がある",人・社会,intermediate
get up,ɡet ʌp (ゲット アップ),起きる,get(なる)と up(上に)の組み合わせ。ベッドや椅子から起き上がる、または朝起きることを示す。例: I get up at 7 every day.(毎日7時に起きます)。wake up(目を覚ます)は眠りから覚める、get up は実際に起き上がる。,,日常生活,intermediate
get well,ɡet wel (ゲット ウェル),元気になる・回復する,get(なる)と well(健康な・元気な)の組み合わせ。病気や怪我から回復して健康になることを示す。例: Get well soon!(早く良くなってね)。recover(回復する)、get better(良くなる)とほぼ同じ意味。,"recover(リカ́ヴァー): 回復する, get better(ゲットベター): 良くなる",人・社会,intermediate
go -ing,ɡəʊ -ɪŋ (ゴウ イング),〜しに行く,go(行く)と -ing(〜すること)の組み合わせ。何かの活動をしに行くことを示す。例: go shopping(買い物に行く)、go swimming(泳ぎに行く)、go fishing(釣りに行く)。レジャー活動やスポーツによく使うパターン。,"go for(ゴウフォア): 〜をしに行く, head for(ヘッドフォア): 〜に向かう",場所・移動,intermediate
go along,goʊ əloʊŋ (ゴ́ウ アロ́ング),進む・賛成する,go(行く)と along(沿って)の組み合わせ。前に進む、または同意するという意味。,"proceed(プロスィ́ード): 進む, agree(アグリ́ー): 賛成する",場所・移動,beginner
go back to ~,ɡoʊ bəck toʊ (ゴ́ー バ́ック トゥ),〜に戻る・帰る,go(行く)、back(戻って)、to(〜へ)の組み合わせ。以前いた場所や状態に戻ることを示す。例: I want to go back to Japan.(日本に帰りたい)。return to とほぼ同じ意味だが、go back to はより口語的。,"return to(リタ́ーントゥ): 〜に戻る, get back to(ゲットバックトゥ): 〜に帰る",場所・移動,intermediate
go by,goʊ by (ゴ́ウ バ́イ),過ぎる・従う,go(行く)とby(そばを)の組み合わせ。時間が経過するまたは規則に沿うという意味。,"pass(パ́ス): 通り過ぎる, follow(フォ́ロウ): 従う",人・社会,intermediate
go out,ɡəʉ (ゴ́ー ア́ウト),外出する,go(行く)と out(外へ)の組み合わせ。家や建物から外に出ることを示す。例: Let's go out for dinner.(外食しに行こう)。他にも「付き合う」「火が消える」という意味もある。stay in(家にいる)と対比して覚える。,,場所・移動,intermediate
go to bed,goʊ toʊ bed (ゴ́ー トゥ ベ́ッド),寝る・就寝する,go(行く)、to(〜へ)、bed(ベッド)の組み合わせ。文字通り「ベッドに行く」から「寝る・就寝する」という意味。例: It's time to go to bed.(寝る時間です)。go to sleep(眠る)は眠りに落ちること、go to bed は就寝する行為。,"go to sleep(ゴウトゥスリープ): 眠る, turn in(ターンイン): 就寝する",場所・移動,intermediate
grow up,ɡɹəʊ (グロ́ー ア́ップ),成長する,grow(成長する)と up(上へ)の組み合わせ。子供から大人に成長する、または精神的に成熟することを示す。例: I grew up in Tokyo.(東京で育ちました)。「Grow up!」で「大人になりなさい」という叱責にも使う。,,人・社会,intermediate
hand out ~,hənd oʊut (ハ́ンド ア́ウト),〜を配る,hand(手渡す)と out(外へ)の組み合わせ。多くの人に物を配るという意味。,"distribute(ディストリ́ビュート): 配布する, give out(ギ́ヴア́ウト): 配る",人・社会,beginner
have a cold,hæv ə kəʊld (ハブ ア コウルド),風邪をひいている,have(持つ)、a cold(風邪)の組み合わせ。英語では病気を「持っている」と表現する。例: I have a cold.(風邪をひいています)。catch a cold(風邪をひく)は風邪にかかる瞬間、have a cold はすでに風邪をひいている状態。,,自然・環境,intermediate
have been to,hæv biːn tuː (ハブ ビーン トゥー),〜に行ったことがある,have been(いたことがある)と to(〜へ)の組み合わせ。現在完了形で、過去の経験を表す。例: I have been to Paris.(パリに行ったことがあります)。have gone to(行ってしまって、いない)との違いに注意。,,人・社会,intermediate
have no idea,hæv nəʊ aɪˈdɪə (ハブ ノウ アイディア),全く分からない,have(持つ)、no(全くない)、idea(考え・見当)の組み合わせ。文字通り「見当が全くない」から「全く分からない」という意味。例: I have no idea.(全く分かりません)。I don't know よりも強い否定。,,人・社会,intermediate
