語句,発音（カタカナ）,和訳,語源等解説（日本語）,関連語（英語）と意味（日本語）,関連分野（日本語）,難易度
init,イニット,初期化,initialize（初期化）の略。ラテン語initiāre（始める）←initium（始まり）。インスタンスを初期化。同語源：initial（最初の）,deinit:解放; initializer:初期化子; self:自分自身,クラス・構造体,2
self,セルフ,自分自身,古英語self（自己）。現在のインスタンス自身を指す。プロパティと引数を区別するときに使用。,init:初期化; instance:インスタンス; this:これ,クラス・構造体,2
override,オーバーライド,上書き,over（上に）+ ride（乗る）。親クラスのメソッドの上に乗って書き換える。同語源：overwrite（上書き）,super:親クラス; subclass:サブクラス; inherit:継承,クラス・構造体,2
super,スーパー,親クラス,ラテン語super（上に・越えて）。親クラスのメソッドやプロパティにアクセス。同語源：superior（上位の）,override:上書き; subclass:サブクラス; parent:親,クラス・構造体,2
weak,ウィーク,弱い参照,古英語wāc（弱い）。循環参照を防ぐため弱い参照を作る。参照カウントを増やさない。同語源：weakness（弱さ）,strong:強い参照; unowned:非所有参照; retain cycle:循環参照,メモリ管理,3
strong,ストロング,強い参照,古英語strang（強い）。デフォルトの参照。参照カウントを増やす。同語源：strength（強さ）,weak:弱い参照; reference:参照; retain:保持,メモリ管理,3
delegate,デリゲート,委譲,ラテン語dēlegāre（委任する）←dē-（下へ）+ legāre（送る）。処理を委任するデザインパターン。同語源：delegation（委任）,protocol:プロトコル; dataSource:データソース; callback:コールバック,アーキテクチャ,2
closure,クロージャー,クロージャー,「閉じること」の意。関数を値として扱える。周囲の変数をキャプチャ。同語源：enclose（囲む）,function:関数; capture:キャプチャ; trailing closure:末尾クロージャ,関数・メソッド,3
async,アシンク,非同期,asynchronous（非同期）の略。ギリシャ語a-（否定）+ syn-（同時）+ chronos（時間）。別スレッドで処理。同語源：asynchronous（非同期の）,await:待機; Task:タスク; concurrency:並行処理,非同期処理,3
await,アウェイト,待機,a-（～で）+ wait（待つ）。非同期処理の完了を待つ。async関数内でのみ使用。同語源：waiting（待機）,async:非同期; Task:タスク; suspend:中断,非同期処理,3
throws,スローズ,エラーを投げる,throw（投げる）の三人称単数。エラーを投げる可能性があることを示す。同語源：throw（投げる）,try:試す; catch:捕まえる; Error:エラー,エラー処理,2
try,トライ,試行,古フランス語trier（選別する）。エラーが発生する可能性のある処理を試す。同語源：trial（試行）,catch:捕まえる; throws:投げる; do:実行,エラー処理,2
catch,キャッチ,捕捉,古ノルド語kaccha（捕まえる）。投げられたエラーを捕まえて処理。同語源：catcher（捕手）,try:試す; throws:投げる; Error:エラー型,エラー処理,2
import,インポート,インポート,ラテン語importāre（持ち込む）←in-（中へ）+ portāre（運ぶ）。外部のモジュールを読み込む。同語源：export（エクスポート）,UIKit:UIフレームワーク; Foundation:基礎フレームワーク; module:モジュール,Swift基礎,1
UIViewController,ユーアイ・ビュー・コントローラー,ビュー管理クラス,UI（User Interface）+ View（画面）+ Controller（制御）。画面の表示とロジックを管理する基本クラス。,UIView:ビュー; viewDidLoad:読み込み完了; present:画面表示,UI構築,2
UIView,ユーアイ・ビュー,ビュークラス,UI（User Interface）+ View（見る）。画面に表示される四角形の領域。全てのUI部品の基底クラス。同語源：visible（見える）,UIViewController:コントローラー; subview:子ビュー; frame:枠,UI構築,2
UIButton,ユーアイ・ボタン,ボタン部品,UI（User Interface）+ Button（ボタン）。タップできるボタン部品。addTargetでアクションを設定。,UILabel:ラベル; @IBAction:アクション接続; setTitle:タイトル設定,UI構築,1
UILabel,ユーアイ・ラベル,ラベル部品,UI（User Interface）+ Label（ラベル）。テキストを表示する部品。編集不可。,UIButton:ボタン; UITextField:テキスト入力; text:テキスト,UI構築,1
UIImageView,ユーアイ・イメージビュー,画像表示部品,UI（User Interface）+ Image（画像）+ View（ビュー）。画像を表示する部品。,UIImage:画像; contentMode:表示モード; image:画像プロパティ,UI構築,1
UITextField,ユーアイ・テキストフィールド,テキスト入力部品,UI（User Interface）+ Text（テキスト）+ Field（欄）。1行のテキスト入力欄。キーボードが表示される。,UILabel:ラベル; placeholder:プレースホルダー; delegate:委譲,UI構築,2
UITableView,ユーアイ・テーブルビュー,テーブル表示部品,UI（User Interface）+ Table（表）+ View（ビュー）。リスト形式でデータを表示。スクロール可能。,UITableViewCell:セル; dataSource:データソース; reloadData:再読み込み,UI構築,2
UITableViewCell,ユーアイ・テーブルビュー・セル,テーブルのセル,UI + Table View + Cell（細胞・セル）。テーブルビューの1行を表すクラス。,UITableView:テーブル; reusable:再利用可能; dequeue:キューから取り出す,UI構築,2
viewDidLoad,ビュー・ディド・ロード,ビューが読み込まれた,view（ビュー）+ did（過去）+ load（読み込む）。ビューが読み込まれた直後に呼ばれる。初期設定はここで行う。同パターン：viewWillAppear,viewWillAppear:表示直前; override:上書き; super:親クラス,ライフサイクル,2
viewWillAppear,ビュー・ウィル・アピアー,ビュー表示直前,view + will（未来）+ appear（現れる）。ビューが画面に表示される直前に呼ばれる。毎回表示時に実行したい処理を書く。,viewDidAppear:表示直後; viewDidLoad:読み込み完了; animated:アニメーション,ライフサイクル,2
viewDidAppear,ビュー・ディド・アピアー,ビュー表示完了,view + did + appear（現れる）。ビューが画面に表示された直後に呼ばれる。アニメーション開始などに使う。,viewWillAppear:表示直前; viewWillDisappear:非表示直前; animated:アニメーション,ライフサイクル,2
@IBOutlet,アット・アイビー・アウトレット,IBと接続する出口,Interface Builder + Outlet（出口）。Storyboardのオブジェクトとコードを接続する修飾子。,@IBAction:アクション接続; weak:弱い参照; UIButton:ボタン,UI構築,2
@IBAction,アット・アイビー・アクション,IBと接続するアクション,Interface Builder + Action（動作）。Storyboardのイベントとメソッドを接続する修飾子。,@IBOutlet:アウトレット接続; sender:送信者; UIButton:ボタン,UI構築,2
addSubview,アッド・サブビュー,子ビューを追加,add（追加）+ sub（下）+ view（ビュー）。親ビューの下に子ビューを追加。同パターン：removeFromSuperview,removeFromSuperview:親から削除; subviews:子ビュー配列; superview:親ビュー,UI構築,2
addTarget,アッド・ターゲット,ターゲット追加,add（追加）+ target（対象）。ボタンのタップイベントに処理を登録。同パターン：removeTarget（削除）,UIButton:ボタン; action:アクション; @IBAction:アクション接続,UI構築,2
reloadData,リロード・データ,データ再読み込み,reload（再読み込み）+ data（データ）。テーブルビューやコレクションビューを再描画。,UITableView:テーブル; dataSource:データソース; numberOfRows:行数,UI構築,2
prepare,プリペア,画面遷移準備,ラテン語praeparāre（前もって準備する）←prae-（前に）+ parāre（用意する）。画面遷移前にデータを渡す準備。同語源：preparation（準備）,segue:セグエ; sender:送信者; destination:遷移先,UI構築,2
present,プレゼント,画面を表示,ラテン語praesentāre（示す）←praesens（目の前の）。モーダルで画面を表示。同語源：presentation（提示）,dismiss:閉じる; animated:アニメーション; completion:完了時処理,UI構築,2
dismiss,ディスミス,画面を閉じる,ラテン語dis-（離れて）+ mittere（送る）。モーダルで表示した画面を閉じる。同語源：dismissal（解散）,present:表示; animated:アニメーション; completion:完了時処理,UI構築,2
push,プッシュ,画面を積む,「押す・積む」の意。ナビゲーションスタックに画面を積む。同語源：pushbutton（押しボタン）,pop:取り除く; navigationController:ナビゲーション; animated:アニメーション,UI構築,2
pop,ポップ,画面を取り除く,「ポンと取る」の意。ナビゲーションスタックから画面を取り除く。同語源：popup（ポップアップ）,push:積む; navigationController:ナビゲーション; animated:アニメーション,UI構築,2
UserDefaults,ユーザー・デフォルツ,簡易データ保存,User（ユーザー）+ Defaults（既定値）。小さなデータを永続化。設定値の保存に使う。,standard:標準; set:設定; value:値; forKey:キー指定,データ永続化,2
Codable,コーダブル,符号化可能,code（符号化）+ -able（可能）。JSONなどとの相互変換が可能なプロトコル。Encodable + Decodable の合成。,Encodable:符号化可能; Decodable:復号化可能; JSONEncoder:JSON符号化,データ永続化,3
encode,エンコード,符号化,ラテン語in-（中へ）+ cōdex（本）。データを特定の形式に変換。同語源：encoder（符号化器）,decode:復号化; Codable:符号化可能; JSON:JSON形式,データ永続化,3
decode,デコード,復号化,de-（反対）+ code（符号）。符号化されたデータを元に戻す。同語源：decoder（復号化器）,encode:符号化; Codable:符号化可能; JSON:JSON形式,データ永続化,3
URLSession,ユーアールエル・セッション,通信セッション,URL（Uniform Resource Locator）+ Session（セッション）。HTTPリクエストを行うクラス。,dataTask:データタスク; shared:共有; request:リクエスト,ネットワーク,3
print,プリント,コンソール出力,「印刷する」の意。デバッグ用にコンソールに値を出力。同語源：printer（印刷機）,debugPrint:デバッグ出力; NSLog:ログ出力; console:コンソール,デバッグ,1
break,ブレイク,ループ中断,「壊す・中断する」の意。ループやswitch文を途中で抜ける。同語源：breakdown（故障）,continue:次へ; return:返る; loop:ループ,制御構文,1
continue,コンティニュー,次の反復へ,ラテン語continuāre（続ける）。ループの現在の反復をスキップして次へ。同語源：continuous（連続的）,break:中断; loop:ループ; iteration:反復,制御構文,2
static,スタティック,静的,ギリシャ語statikos（静止した）←statos（立っている）。型に属するプロパティ・メソッド。インスタンス不要。同語源：statistics（統計）,class:クラス; type:型; instance:インスタンス,クラス・構造体,2
final,ファイナル,継承禁止,ラテン語fīnālis（最終の）←fīnis（終わり）。クラスやメソッドの継承・上書きを禁止。同語源：finish（終える）,override:上書き; subclass:サブクラス; sealed:封印された,クラス・構造体,3
private,プライベート,非公開,ラテン語prīvātus（私的な）←prīvāre（奪う）。同じファイル内からのみアクセス可能。同語源：privacy（プライバシー）,public:公開; internal:内部; fileprivate:ファイル内,クラス・構造体,2
public,パブリック,公開,ラテン語pūblicus（公の）←populus（人民）。どこからでもアクセス可能。同語源：publication（出版）,private:非公開; internal:内部; open:開放,クラス・構造体,2
mutating,ミューテイティング,値の変更を許可,mutate（変化させる）の現在分詞形。ラテン語mūtāre（変える）。構造体のメソッドで自身を変更する時に必要。同語源：mutation（突然変異）,struct:構造体; self:自分自身; immutable:不変,クラス・構造体,3
where,ウェア,条件追加,古英語hwǣr（どこで）。for文やswitch文に追加条件を指定。同パターン：if where（条件付きif）,for:繰り返し; switch:多分岐; case:ケース,制御構文,2
map,マップ,変換,「地図を作る」の意。配列の各要素を変換して新しい配列を作る。同語源：mapping（マッピング）,filter:絞り込み; reduce:集約; compactMap:nil除外変換,関数・メソッド,3
filter,フィルター,絞り込み,「濾過器」の意。配列から条件に合う要素だけ抽出。同語源：filtration（濾過）,map:変換; reduce:集約; contains:含む,関数・メソッド,3
reduce,リデュース,集約,ラテン語redūcere（戻す）←re-（戻る）+ dūcere（導く）。配列を1つの値に集約。同語源：reduction（削減）,map:変換; filter:絞り込み; fold:畳み込み,関数・メソッド,3
