語句,読み,意味,語源等解説,関連語,関連分野,難易度
turn on,ター́ン オ́ン,スイッチを入れる,"turn(回す)と on(つけて)の組み合わせ。スイッチを回してつける動作から。対義語: turn off(ター́ンオ́フ): 消す","switch on(スウィ́ッチオ́ン): つける, start(スタ́ート): 始動する",科学・技術,初級
turn off,ター́ン オ́フ,スイッチを消す,"turn(回す)と off(切って)の組み合わせ。スイッチを回して切る動作から。対義語: turn on(ター́ンオ́ン): つける","switch off(スウィ́ッチオ́フ): 消す, shut down(シャ́ットダ́ウン): 停止する",科学・技術,初級
put on,プッ́ト オ́ン,着る・身につける,"put(置く)と on(〜の上に)の組み合わせ。服を身体の上に置くイメージ。対義語: take off(テ́イクオ́フ): 脱ぐ","wear(ウェ́ア): 着ている, dress(ドレ́ス): 服を着る",日常生活,初級
take off,テ́イク オ́フ,脱ぐ・離陸する,"take(取る)と off(離れて)の組み合わせ。服を身体から離す、飛行機が地面から離れる。対義語: put on(プッ́トオ́ン): 着る","remove(リムー́ヴ): 取り除く, depart(ディパ́ート): 出発する",日常生活,初級
make up,メ́イク ア́ップ,仲直りする・作り上げる,"make(作る)と up(上に)の組み合わせ。関係を修復する、話を作り上げるなど複数の意味。派生: make up for(メ́イクア́ップフォア): 埋め合わせる","reconcile(レ́コンサイル): 和解する, invent(インヴェ́ント): 考案する",人・社会,中級
look forward to,ルッ́ク フォ́ワード トゥ,〜を楽しみに待つ,"look(見る)、forward(前方へ)、to(〜に)の組み合わせ。未来を前向きに見るイメージ。to の後は名詞・動名詞。","anticipate(アンティ́シペイト): 期待する, expect(イクスペ́クト): 期待する",人・社会,中級
run out of,ラ́ン ア́ウト オヴ,〜を使い果たす,"run(走る)、out(外に)、of(〜から)の組み合わせ。在庫が外に出て無くなるイメージ。","use up(ユ́ーズア́ップ): 使い切る, exhaust(イグゾ́ースト): 使い果たす",時間・数量,中級
find out,ファ́インド ア́ウト,見つけ出す・わかる,"find(見つける)と out(外に)の組み合わせ。隠れているものを外に出して見つけるイメージ。","discover(ディスカ́ヴァー): 発見する, learn(ラー́ン): 知る",学校・学習,初級
call off,コ́ール オ́フ,中止する,"call(呼ぶ)と off(離れて)の組み合わせ。予定を呼び戻して中止するイメージ。","cancel(キャ́ンセル): 取り消す, postpone(ポウストポ́ウン): 延期する",時間・数量,中級
break down,ブレ́イク ダ́ウン,故障する・壊れる,"break(壊れる)と down(下に)の組み合わせ。機械が壊れる、精神的に崩れるなどの意味。","malfunction(マルファ́ンクション): 故障する, fail(フェ́イル): 機能しなくなる",科学・技術,中級
carry out,キャ́リ ア́ウト,実行する・遂行する,"carry(運ぶ)と out(外に)の組み合わせ。計画を最後まで運び出すイメージ。","execute(エ́クシキュート): 実行する, perform(パフォ́ーム): 遂行する",学校・学習,中級
figure out,フィ́ギャー ア́ウト,理解する・解決する,"figure(計算する)と out(外に)の組み合わせ。問題を計算して答えを出すイメージ。","solve(ソ́ルヴ): 解く, understand(アンダスタ́ンド): 理解する",学校・学習,中級
grow up,グロ́ウ ア́ップ,成長する・大人になる,"grow(成長する)と up(上に)の組み合わせ。上に向かって成長するイメージ。派生: grown-up(グロ́ウンア́ップ): 大人","mature(マチュ́ア): 成熟する, develop(ディヴェ́ロップ): 発達する",人・社会,初級
pick up,ピ́ック ア́ップ,拾う・迎えに行く,"pick(選ぶ)と up(上に)の組み合わせ。地面から拾い上げる、人を迎えに行くなど複数の意味。","collect(コレ́クト): 集める, fetch(フェ́ッチ): 取ってくる",場所・移動,初級
set up,セッ́ト ア́ップ,設置する・準備する,"set(置く)と up(上に)の組み合わせ。何かを組み立てて設置するイメージ。","establish(イスタ́ブリッシュ): 設立する, arrange(アレ́インジ): 配置する",科学・技術,中級
show up,ショ́ウ ア́ップ,現れる・姿を見せる,"show(見せる)と up(上に)の組み合わせ。姿を現して見えるようになるイメージ。","appear(アピ́アー): 現れる, arrive(アラ́イヴ): 到着する",場所・移動,中級
a piece of cake,ア ピ́ース オヴ ケ́イク,とても簡単なこと,"直訳は「ケーキ一切れ」。ケーキを食べるのは簡単なことから、「とても簡単」という意味の慣用句に。類似: easy as pie(イ́ージーアズパ́イ)","easy as pie(イ́ージーアズパ́イ): とても簡単, no sweat(ノ́ウスウェ́ット): 楽勝",言語基本,中級
break the ice,ブレ́イク ザ ア́イス,打ち解ける・緊張をほぐす,"直訳は「氷を砕く」。固い氷のような冷たい雰囲気を壊すことから、「打ち解ける」という意味に。社交的な場面で使用。","warm up to(ウォ́ームア́ップトゥ): 親しくなる, get along with(ゲッ́ットアロ́ングウィズ): 仲良くする",人・社会,上級
once in a blue moon,ワ́ンス イン ア ブルー ムー́ン,めったに〜ない,"青い月(満月が月に2回見える珍しい現象)から。非常に稀なことのたとえ。","rarely(レ́アリ): めったに〜ない, seldom(セ́ルダム): めったに〜ない",時間・数量,上級
beat around the bush,ビ́ート アラ́ウンド ザ ブッ́シュ,遠回しに言う,"直訳は「茂みの周りを叩く」。狩りで茂みの周りを叩いて鳥を追い出す様子から、本題を避ける意味に。","avoid the topic(アヴォ́イドザトッ́ピック): 話題を避ける, speak indirectly(スピ́ークインダレ́クトリ): 間接的に話す",人・社会,上級
cost an arm and a leg,コ́スト アン ア́ーム アンド ア レ́ッグ,とても高価である,"直訳は「腕と脚の値段がする」。身体の一部を失うほど高額という極端な表現。","very expensive(ヴェ́リイクスペ́ンシヴ): とても高い, pricey(プラ́イシ): 高価な",時間・数量,上級
make a decision,メ́イク ア ディシ́ジョン,決定を下す,"make と decision の固定的な組み合わせ。do a decision とは言わない。重要なコロケーション。類似: make a choice(メ́イクアチョ́イス)","decide(ディサ́イド): 決める, determine(ディタ́ーミン): 決定する",人・社会,中級
take a bath,テ́イク ア バ́ース,風呂に入る,"take と bath の固定的な組み合わせ。have a bath とも言う。do a bath とは言わない。","have a bath(ハ́ヴアバ́ース): 風呂に入る, bathe(ベ́イズ): 入浴する",日常生活,初級
pay attention,ペ́イ アテ́ンション,注意を払う,"pay(支払う)と attention(注意)の固定的な組み合わせ。注意を向けることを「支払う」と表現。","focus on(フォ́ウカスオ́ン): 集中する, concentrate on(コ́ンセントレイトオ́ン): 集中する",学校・学習,初級
make sense,メ́イク セ́ンス,意味をなす・理にかなう,"make と sense の固定的な組み合わせ。論理的に筋が通っている状態。否定形: doesn't make sense(意味不明)","be logical(ビーロ́ジカル): 論理的である, be reasonable(ビーリ́ーズナブル): 合理的である",言語基本,中級
take place,テ́イク プレ́イス,行われる・起こる,"take と place の固定的な組み合わせ。イベントや出来事が場所を取って起こるイメージ。","happen(ハ́ペン): 起こる, occur(オカ́ー): 発生する",時間・数量,中級
come true,カ́ム トゥルー,実現する,"come(なる)と true(本当の)の組み合わせ。夢や希望が本当になること。主に夢・願いを主語に。","be realized(ビーリ́アライズド): 実現される, materialize(マティ́アリアライズ): 具体化する",人・社会,中級
in time,イン タ́イム,間に合って,"in と time の組み合わせ。時間内にという意味。on time(定刻に)と区別すること。","punctually(パ́ンクチュアリ): 時間通りに, before the deadline(ビフォ́アザデ́ッドライン): 締切前に",時間・数量,初級
on time,オ́ン タ́イム,時間通りに・定刻に,"on と time の組み合わせ。正確な時間にという意味。in time(間に合って)と区別すること。","punctually(パ́ンクチュアリ): 時間通りに, promptly(プロ́ンプトリ): 即座に",時間・数量,初級
at least,ア́ット リ́ースト,少なくとも,"at と least(最小)の組み合わせ。最低限という意味。対義語: at most(多くても)","minimum(ミ́ニマム): 最小限, no less than(ノ́ウレ́スザン): 〜に劣らず",時間・数量,初級
at most,ア́ット モ́ウスト,多くても・せいぜい,"at と most(最大)の組み合わせ。最大限という意味。対義語: at least(少なくとも)","maximum(マ́クシマム): 最大限, no more than(ノ́ウモ́アザン): 〜だけ",時間・数量,中級
as well,ア́ズ ウェ́ル,〜もまた,"as と well の組み合わせ。too と同じ意味だが、文末に置く。類似: also(文中)、too(文末)","also(オ́ールソウ): 〜もまた, too(トゥ́ー): 〜もまた",言語基本,初級
so far,ソ́ウ ファ́ー,今までのところ,"so と far の組み合わせ。今この時点までという意味。現在完了形とよく使われる。","until now(アンティ́ルナ́ウ): 今まで, up to now(ア́ップトゥナ́ウ): これまで",時間・数量,中級
right away,ラ́イト アウェ́イ,すぐに・直ちに,"right(まさに)と away(すぐに)の組み合わせ。即座にという強い意味。類似: immediately, at once","immediately(イミ́ーディエトリ): 直ちに, at once(ア́ットワ́ンス): すぐに",時間・数量,中級
all of a sudden,オ́ール オヴ ア サ́ドゥン,突然,"all、of、a、sudden の組み合わせ。突然という意味の慣用句。類似: suddenly","suddenly(サ́ドゥンリ): 突然, unexpectedly(アニクスペ́クティドリ): 予期せず",時間・数量,中級
for example,フォー イグザ́ンプル,例えば,"for と example の固定的な組み合わせ。具体例を示すときに使用。略: e.g.","for instance(フォーイ́ンスタンス): 例えば, such as(サ́ッチアズ): 〜のような",言語基本,初級
in fact,イン ファ́クト,実は・実際には,"in と fact の組み合わせ。実際の事実としてという意味。前述の内容を訂正・強調する。","actually(ア́クチュアリ): 実際に, as a matter of fact(アズアマ́ターオヴファ́クト): 実を言うと",言語基本,中級
by the way,バ́イ ザ ウェ́イ,ところで,"by、the、way の組み合わせ。話題を変えるときに使う。略: BTW(メールなど)","incidentally(インシデ́ントリ): ついでながら, speaking of which(スピ́ーキングオヴウィ́ッチ): それについて言えば",言語基本,初級
on purpose,オ́ン パ́ーパス,わざと・故意に,"on と purpose の組み合わせ。意図的にという意味。対義語: by accident(偶然に)","intentionally(インテ́ンショナリ): 意図的に, deliberately(ディリ́バレイトリ): 故意に",人・社会,中級
by accident,バ́イ ア́クシデント,偶然に・うっかり,"by と accident の組み合わせ。意図せずにという意味。対義語: on purpose(わざと)","accidentally(アクシデ́ントリ): 偶然に, unintentionally(アニンテ́ンショナリ): 意図せずに",時間・数量,中級
