file,row,key,old_related,new_related,和訳,元関連分野,source_row,report
SimpleWord/Resources/中学英単語.csv,,SimpleWord/Resources/中学英単語.csv,zoo;pet;wild,,bird,zoo;pet;wild,,
SimpleWord/SimpleWord/Resources/中学英会話.csv,74,I need to ask my parents first,家族・人間関係,家族・住居,まず親に聞く必要があります,家族・住居,語句=I need to ask my parents first|発音（カタカナ）=アイ ニード トゥ アスク マイ ペアレンツ ファースト|和訳=まず親に聞く必要があります|語源等解説（日本語）=家庭の了承を得る旨を伝える表現|関連語（英語）と意味（日本語）=Let me check with my parents:親に確認する|関連分野（日本語）=家族・住居|難易度=1,Tools/reports/中学英会話_canonical_map_diff.txt
SimpleWord/SimpleWord/Resources/中学英会話.csv,75,Please set the table,家族・人間関係,家族・住居,テーブルを準備してください,家族・住居,語句=Please set the table|発音（カタカナ）=プリーズ セット ザ テーブル|和訳=テーブルを準備してください|語源等解説（日本語）=家事の依頼|関連語（英語）と意味（日本語）=Could you lay the table?:食卓を準備して|関連分野（日本語）=家族・住居|難易度=1,Tools/reports/中学英会話_canonical_map_diff.txt
SimpleWord/SimpleWord/Resources/中学英会話.csv,76,Turn off the lights please,家族・人間関係,家族・住居,電気を消してください,家族・住居,語句=Turn off the lights please|発音（カタカナ）=ターン オフ ザ ライツ プリーズ|和訳=電気を消してください|語源等解説（日本語）=節電や就寝時の指示|関連語（英語）と意味（日本語）=Please switch off the lights:電気を消して|関連分野（日本語）=家族・住居|難易度=1,Tools/reports/中学英会話_canonical_map_diff.txt
SimpleWord/SimpleWord/Resources/中学英会話.csv,78,Can you babysit this weekend?,家族・人間関係,家族・住居,今週末子守をしてくれますか,家族・住居,語句=Can you babysit this weekend?|発音（カタカナ）=キャン ユー ベビーシット ディス ウィークエンド|和訳=今週末子守をしてくれますか|語源等解説（日本語）=子育て支援の依頼|関連語（英語）と意味（日本語）=Can you watch the kids?:子どもを見てくれる？|関連分野（日本語）=家族・住居|難易度=3,Tools/reports/中学英会話_canonical_map_diff.txt
SimpleWord/SimpleWord/Resources/中学英会話.csv,80,Can you help me cook dinner?,家族・人間関係,家族・住居,夕食作りを手伝ってくれますか,家族・住居,語句=Can you help me cook dinner?|発音（カタカナ）=キャン ユー ヘルプ ミー クック ディナー|和訳=夕食作りを手伝ってくれますか|語源等解説（日本語）=家事分担の依頼|関連語（英語）と意味（日本語）=Let's cook together:一緒に料理しよう|関連分野（日本語）=家族・住居|難易度=1,Tools/reports/中学英会話_canonical_map_diff.txt
SimpleWord/SimpleWord/Resources/中学英会話.csv,81,What's for dinner tonight?,家族・人間関係,家族・住居,今夜の夕食は何ですか,家族・住居,語句=What's for dinner tonight?|発音（カタカナ）=ワッツ フォー ディナー トゥナイト|和訳=今夜の夕食は何ですか|語源等解説（日本語）=食事内容の確認|関連語（英語）と意味（日本語）=What's on the menu?:献立は何|関連分野（日本語）=家族・住居|難易度=1,Tools/reports/中学英会話_canonical_map_diff.txt
SimpleWord/SimpleWord/Resources/中学英会話.csv,82,Can you pass the salt?,家族・人間関係,家族・住居,塩を取ってください,家族・住居,語句=Can you pass the salt?|発音（カタカナ）=キャン ユー パス ザ ソルト|和訳=塩を取ってください|語源等解説（日本語）=食卓でのやり取り|関連語（英語）と意味（日本語）=Pass me the salt:塩取って|関連分野（日本語）=家族・住居|難易度=1,Tools/reports/中学英会話_canonical_map_diff.txt
SimpleWord/SimpleWord/Resources/中学英会話.csv,87,I need to see a doctor,医療・健康,健康・身体,医者に診てもらう必要があります,健康・身体,語句=I need to see a doctor|発音（カタカナ）=アイ ニード トゥ シー ア ドクター|和訳=医者に診てもらう必要があります|語源等解説（日本語）=医療の受診を希望する表現|関連語（英語）と意味（日本語）=Can I see a doctor?:医者に会えますか|関連分野（日本語）=健康・身体|難易度=2,Tools/reports/中学英会話_canonical_map_diff.txt
SimpleWord/SimpleWord/Resources/中学英会話.csv,93,Can I have a sick note?,医療・健康,健康・身体,病欠の診断書をもらえますか,健康・身体,語句=Can I have a sick note?|発音（カタカナ）=キャン アイ ハブ ア シック ノート|和訳=病欠の診断書をもらえますか|語源等解説（日本語）=欠席手続き|関連語（英語）と意味（日本語）=Do I need a medical certificate?:診断書が必要？|関連分野（日本語）=健康・身体|難易度=3,Tools/reports/中学英会話_canonical_map_diff.txt
SimpleWord/SimpleWord/Resources/中学英会話.csv,101,Where is the supermarket?,商業・買い物,買い物・商業,スーパーはどこですか,買い物・商業,語句=Where is the supermarket?|発音（カタカナ）=ホウェア イズ ザ スーパーマーケット|和訳=スーパーはどこですか|語源等解説（日本語）=買い物場所の確認|関連語（英語）と意味（日本語）=Where's the store?:お店はどこ|関連分野（日本語）=買い物・商業|難易度=1,Tools/reports/中学英会話_canonical_map_diff.txt
SimpleWord/SimpleWord/Resources/中学英会話.csv,102,How much is this apple?,商業・買い物,買い物・商業,このリンゴはいくらですか,買い物・商業,語句=How much is this apple?|発音（カタカナ）=ハウ マッチ イズ ディス アップル|和訳=このリンゴはいくらですか|語源等解説（日本語）=商品の値段確認|関連語（英語）と意味（日本語）=What's the cost?:値段はいくら|関連分野（日本語）=買い物・商業|難易度=1,Tools/reports/中学英会話_canonical_map_diff.txt
SimpleWord/SimpleWord/Resources/中学英会話.csv,103,Do you have this in a different size?,商業・買い物,買い物・商業,これの別サイズはありますか,買い物・商業,語句=Do you have this in a different size?|発音（カタカナ）=ドゥ ユー ハブ ディス イン ア ディファレント サイズ|和訳=これの別サイズはありますか|語源等解説（日本語）=服のサイズ確認|関連語（英語）と意味（日本語）=Any other sizes?:他のサイズは|関連分野（日本語）=買い物・商業|難易度=2,Tools/reports/中学英会話_canonical_map_diff.txt
SimpleWord/SimpleWord/Resources/中学英会話.csv,104,Can I try the shoes?,商業・買い物,買い物・商業,靴を試し履きできますか,買い物・商業,語句=Can I try the shoes?|発音（カタカナ）=キャン アイ トライ ザ シューズ|和訳=靴を試し履きできますか|語源等解説（日本語）=試着の依頼|関連語（英語）と意味（日本語）=May I try them on?:試着してもいい？|関連分野（日本語）=買い物・商業|難易度=1,Tools/reports/中学英会話_canonical_map_diff.txt
SimpleWord/SimpleWord/Resources/中学英会話.csv,105,Do you accept returns?,商業・買い物,買い物・商業,返品はできますか,買い物・商業,語句=Do you accept returns?|発音（カタカナ）=ドゥ ユー アクセプト リターンズ|和訳=返品はできますか|語源等解説（日本語）=返品ポリシーの確認|関連語（英語）と意味（日本語）=Can I return this?:返品できますか|関連分野（日本語）=買い物・商業|難易度=2,Tools/reports/中学英会話_canonical_map_diff.txt
SimpleWord/SimpleWord/Resources/中学英会話.csv,106,Could I have a bag please?,商業・買い物,買い物・商業,袋をください,買い物・商業,語句=Could I have a bag please?|発音（カタカナ）=クッド アイ ハブ ア バッグ プリーズ|和訳=袋をください|語源等解説（日本語）=持ち帰り袋の要望|関連語（英語）と意味（日本語）=Can I get a bag?:袋ください|関連分野（日本語）=買い物・商業|難易度=1,Tools/reports/中学英会話_canonical_map_diff.txt
SimpleWord/SimpleWord/Resources/中学英会話.csv,107,Is there a student discount?,商業・買い物,買い物・商業,学生割引はありますか,買い物・商業,語句=Is there a student discount?|発音（カタカナ）=イズ ゼア ア スチューデント ディスカウント|和訳=学生割引はありますか|語源等解説（日本語）=割引の有無確認|関連語（英語）と意味（日本語）=Any discounts for students?:学生割引ありますか|関連分野（日本語）=買い物・商業|難易度=2,Tools/reports/中学英会話_canonical_map_diff.txt
SimpleWord/SimpleWord/Resources/中学英会話.csv,120,Two tickets please.,天体・天気,地理・天気,チケットを2枚ください,地理・天気,語句=Two tickets please.|発音（カタカナ）=トゥー チケッツ プリーズ|和訳=チケットを2枚ください|語源等解説（日本語）=映画館やイベントでの入場券購入の基本表現|関連語（英語）と意味（日本語）=Seats for two:2名分の席|関連分野（日本語）=地理・天気|難易度=1,Tools/reports/中学英会話_canonical_map_diff.txt
SimpleWord/SimpleWord/Resources/中学英会話.csv,137,Can I get a refund for this product?,商業・買い物,買い物・商業,この商品の返金はできますか,買い物・商業,語句=Can I get a refund for this product?|発音（カタカナ）=キャン アイ ゲット ア リファンド フォー ディス プロダクト|和訳=この商品の返金はできますか|語源等解説（日本語）=返品・返金の手続き確認|関連語（英語）と意味（日本語）=How to return?:返品方法|関連分野（日本語）=買い物・商業|難易度=2,Tools/reports/中学英会話_canonical_map_diff.txt
SimpleWord/SimpleWord/Resources/中学英会話.csv,148,Do you offer curbside pickup?,商業・買い物,買い物・商業,店頭受け取りサービスはありますか,買い物・商業,語句=Do you offer curbside pickup?|発音（カタカナ）=ドゥ ユー オファ カーブサイド ピックアップ|和訳=店頭受け取りサービスはありますか|語源等解説（日本語）=非接触受取の有無|関連語（英語）と意味（日本語）=Pick up at curb:店頭受取|関連分野（日本語）=買い物・商業|難易度=2,Tools/reports/中学英会話_canonical_map_diff.txt
SimpleWord/SimpleWord/Resources/中学英会話.csv,153,Do you have a size small?,商業・買い物,買い物・商業,サイズSはありますか,買い物・商業,語句=Do you have a size small?|発音（カタカナ）=ドゥ ユー ハブ ア サイズ スモール|和訳=サイズSはありますか|語源等解説（日本語）=服の在庫確認|関連語（英語）と意味（日本語）=Any small size?:Sありますか|関連分野（日本語）=買い物・商業|難易度=1,Tools/reports/中学英会話_canonical_map_diff.txt
SimpleWord/SimpleWord/Resources/中学英単語.csv,12,whale,物理・状態,科学・物理,くじら,科学・物理,語句=whale|発音（カタカナ）=ホエール|和訳=くじら|語源等解説（日本語）=大型の海洋哺乳類。大きさを想像して記憶する。|関連語（英語）と意味（日本語）=dolphin:イルカ|関連分野（日本語）=科学・物理|難易度=2,Tools/reports/中学英単語_canonical_map_diff.txt
SimpleWord/SimpleWord/Resources/中学英単語.csv,49,house,家族・人間関係,家族・住居,いえ,家族・住居,語句=house|発音（カタカナ）=ハウス|和訳=いえ|語源等解説（日本語）=homeとbuildingの違いを意識して学ぶ。|関連語（英語）と意味（日本語）=apartment:アパート|関連分野（日本語）=家族・住居|難易度=1,Tools/reports/中学英単語_canonical_map_diff.txt
SimpleWord/SimpleWord/Resources/中学英単語.csv,56,map,天体・天気,地理・天気,ちず,地理・天気,語句=map|発音（カタカナ）=マップ|和訳=ちず|語源等解説（日本語）=場所を示す図。routeやdirectionと合わせて学ぶ。|関連語（英語）と意味（日本語）=route:経路|関連分野（日本語）=地理・天気|難易度=1,Tools/reports/中学英単語_canonical_map_diff.txt
SimpleWord/SimpleWord/Resources/中学英単語.csv,59,market,商業・買い物,買い物・商業,いちば,買い物・商業,語句=market|発音（カタカナ）=マーケット|和訳=いちば|語源等解説（日本語）=買い物の場として実例を想起して覚える。|関連語（英語）と意味（日本語）=shop:店|関連分野（日本語）=買い物・商業|難易度=1,Tools/reports/中学英単語_canonical_map_diff.txt
SimpleWord/SimpleWord/Resources/中学英単語.csv,60,shop,商業・買い物,買い物・商業,みせ,買い物・商業,語句=shop|発音（カタカナ）=ショップ|和訳=みせ|語源等解説（日本語）=店を表す語。buyやsellと合わせて例文を作る。|関連語（英語）と意味（日本語）=cashier:レジ|関連分野（日本語）=買い物・商業|難易度=1,Tools/reports/中学英単語_canonical_map_diff.txt
SimpleWord/SimpleWord/Resources/中学英単語.csv,62,bank,商業・買い物,買い物・商業,ぎんこう,買い物・商業,語句=bank|発音（カタカナ）=バンク|和訳=ぎんこう|語源等解説（日本語）=金融関連語。accountやloanと合わせて学ぶ。|関連語（英語）と意味（日本語）=money:おかね|関連分野（日本語）=買い物・商業|難易度=1,Tools/reports/中学英単語_canonical_map_diff.txt
SimpleWord/SimpleWord/Resources/中学英単語.csv,63,hospital,医療・健康,健康・身体,びょういん,健康・身体,語句=hospital|発音（カタカナ）=ホスピタル|和訳=びょういん|語源等解説（日本語）=医療施設。doctorやnurseと合わせて学ぶ。|関連語（英語）と意味（日本語）=clinic:診療所|関連分野（日本語）=健康・身体|難易度=1,Tools/reports/中学英単語_canonical_map_diff.txt
SimpleWord/SimpleWord/Resources/中学英単語.csv,66,computer,日常,テクノロジー,コンピュータ,テクノロジー,語句=computer|発音（カタカナ）=コンピューター|和訳=コンピュータ|語源等解説（日本語）=情報処理機器の語。laptopと比較して学ぶ。|関連語（英語）と意味（日本語）=laptop:ノートPC|関連分野（日本語）=テクノロジー|難易度=2,Tools/reports/中学英単語_canonical_map_diff.txt
SimpleWord/SimpleWord/Resources/中学英単語.csv,69,music,文化・芸術・娯楽,文化・芸術,おんがく,文化・芸術,語句=music|発音（カタカナ）=ミュージック|和訳=おんがく|語源等解説（日本語）=歌や楽器と結びつけて文化語彙を広げる。|関連語（英語）と意味（日本語）=song:歌|関連分野（日本語）=文化・芸術|難易度=1,Tools/reports/中学英単語_canonical_map_diff.txt
SimpleWord/SimpleWord/Resources/中学英単語.csv,70,movie,文化・芸術・娯楽,文化・芸術,えいが,文化・芸術,語句=movie|発音（カタカナ）=ムービー|和訳=えいが|語源等解説（日本語）=映画を観る行為とセットで学ぶ。|関連語（英語）と意味（日本語）=cinema:映画館|関連分野（日本語）=文化・芸術|難易度=1,Tools/reports/中学英単語_canonical_map_diff.txt
SimpleWord/SimpleWord/Resources/中学英単語.csv,73,family,家族・人間関係,家族・住居,かぞく,家族・住居,語句=family|発音（カタカナ）=ファミリー|和訳=かぞく|語源等解説（日本語）=親族語をまとめて学ぶと定着しやすい。|関連語（英語）と意味（日本語）=mother:母|関連分野（日本語）=家族・住居|難易度=1,Tools/reports/中学英単語_canonical_map_diff.txt
SimpleWord/SimpleWord/Resources/中学英単語.csv,78,happy,感情・思考・認知,感情,しあわせ,感情,語句=happy|発音（カタカナ）=ハッピー|和訳=しあわせ|語源等解説（日本語）=良い感情を表す語。sadと対比して覚える。|関連語（英語）と意味（日本語）=smile:笑顔|関連分野（日本語）=感情|難易度=1,Tools/reports/中学英単語_canonical_map_diff.txt
SimpleWord/SimpleWord/Resources/中学英単語.csv,79,sad,感情・思考・認知,感情,かなしい,感情,語句=sad|発音（カタカナ）=サッド|和訳=かなしい|語源等解説（日本語）=負の感情を表す語。happyと対比して学ぶ。|関連語（英語）と意味（日本語）=cry:泣く|関連分野（日本語）=感情|難易度=1,Tools/reports/中学英単語_canonical_map_diff.txt
SimpleWord/SimpleWord/Resources/中学英単語.csv,91,star,文化・芸術・娯楽,文化・芸術,ほし,文化・芸術,語句=star|発音（カタカナ）=スター|和訳=ほし|語源等解説（日本語）=夜空の星。constellationと合わせて学ぶ。|関連語（英語）と意味（日本語）=sky:空|関連分野（日本語）=文化・芸術|難易度=1,Tools/reports/中学英単語_canonical_map_diff.txt
SimpleWord/SimpleWord/Resources/中学英単語.csv,96,start,文化・芸術・娯楽,文化・芸術,はじめる,文化・芸術,語句=start|発音（カタカナ）=スタート|和訳=はじめる|語源等解説（日本語）=beginと類義。スポーツや機械での使用例で覚える。|関連語（英語）と意味（日本語）=begin:始める|関連分野（日本語）=文化・芸術|難易度=1,Tools/reports/中学英単語_canonical_map_diff.txt
