語句,読み,意味,語源等解説,関連語,関連分野,難易度
set about,セ́ット アバ́ウト,取り掛かる,set(設定する)とabout(周りに)の組み合わせ。作業を始めるという意味。,"begin(ビギ́ン): 始める, start(スタ́ート): 開始する",学校・学習,中級
put across,プ́ット アクロ́ス,うまく伝える,put(置く)とacross(横切って)の組み合わせ。理解されるように説明するという意味。,"communicate(コミュ́ーニケイト): 伝達する, convey(コンヴェ́イ): 伝える",言語基本,中級
fall behind,フォ́ール ビハ́インド,遅れる,fall(落ちる)とbehind(後ろに)の組み合わせ。他より遅くなるという意味。,"lag behind(ラ́グビハ́インド): 立ち遅れる, drop back(ドロ́ップバ́ック): 後退する",時間・数量,中級
fall back on,フォ́ール バ́ック オ́ン,頼る・〜に戻る,fall(落ちる)、back(後ろへ)、on(〜の上に)の組み合わせ。最後の手段として使うという意味。,"resort to(リゾ́ートトゥ): 頼る, turn to(タ́ーントゥ): 向かう",人・社会,中級
go ahead,ゴ́ウ アヘ́ッド,進む・どうぞ,go(行く)とahead(前へ)の組み合わせ。先に進むまたは許可を与えるという意味。,"proceed(プロシ́ード): 続行する, continue(コンティ́ニュー): 継続する",場所・移動,中級
go along with,ゴ́ウ アロ́ング ウィズ,同意する・一緒に行く,go(行く)、along(一緒に)、with(〜と)の組み合わせ。賛成するという意味。,"agree with(アグリ́ーウィズ): 同意する, support(サポ́ート): 支持する",人・社会,中級
keep on,キ́ープ オ́ン,続ける,keep(保つ)とon(上に)の組み合わせ。継続するという意味。,"continue(コンティ́ニュー): 続ける, persist(パーシ́スト): 固執する",時間・数量,中級
take up,テ́イク ア́ップ,始める・占める,take(取る)とup(上へ)の組み合わせ。新しいことに取り組むまたは空間を使うという意味。,"begin(ビギ́ン): 始める, occupy(ア́キュパイ): 占有する",学校・学習,中級
account for,アカ́ウント フォ́ー,説明する・占める,account(説明)とfor(〜のために)の組み合わせ。理由を述べるまたは割合を示すという意味。,"explain(イクスプレ́イン): 説明する, constitute(コ́ンスティチュート): 構成する",学校・学習,中級
allow for,アラ́ウ フォ́ー,考慮する・余裕を持つ,allow(許す)とfor(〜のために)の組み合わせ。可能性を見込むという意味。,"make allowances for(メ́イクアラ́ウアンシズフォー): 斟酌する, take into consideration(テ́イクイントゥコンシダレ́イション): 考慮に入れる",人・社会,中級
apply for,アプラ́イ フォ́ー,申し込む,apply(応用する)とfor(〜のために)の組み合わせ。正式に要請するという意味。,"request(リクウェ́スト): 要求する, seek(シ́ーク): 求める",学校・学習,中級
do without,ドゥ́ー ウィザ́ウト,なしで済ませる,do(する)とwithout(〜なしで)の組み合わせ。不足状態を我慢するという意味。,"manage without(マ́ニジウィザウト): 〜なしでやっていく, go without(ゴ́ウウィザウト): なしで過ごす",日常生活,中級
get by,ゲ́ット バ́イ,何とかやっていく,get(得る)とby(そばを)の組み合わせ。かろうじて生活するという意味。,"manage(マ́ニジ): どうにかする, survive(サヴァ́イヴ): 生き延びる",日常生活,中級
go by,ゴ́ウ バ́イ,過ぎる・従う,go(行く)とby(そばを)の組み合わせ。時間が経過するまたは規則に沿うという意味。,"pass(パ́ス): 通り過ぎる, follow(フォ́ロウ): 従う",時間・数量,中級
go without,ゴ́ウ ウィザ́ウト,なしで済ませる,go(行く)とwithout(〜なしで)の組み合わせ。欠乏状態を受け入れるという意味。,"do without(ドゥ́ーウィザウト): なしで済ます, manage without(マ́ニジウィザウト): なしでやる",日常生活,中級
keep up,キ́ープ ア́ップ,維持する・ついていく,keep(保つ)とup(上へ)の組み合わせ。水準を保つまたは遅れないという意味。,"maintain(メインテ́イン): 維持する, continue(コンティ́ニュー): 続ける",人・社会,中級
live on,リ́ヴ オ́ン,生き続ける・頼って生活する,live(生きる)とon(〜の上に)の組み合わせ。存在し続けるまたは何かで暮らすという意味。,"survive on(サヴァ́イヴオン): 〜で生き延びる, subsist on(サブシ́ストオン): 〜で暮らす",日常生活,中級
see through,シ́ー スルー́,見抜く・最後までやり遂げる,see(見る)とthrough(通して)の組み合わせ。真実を見抜くまたは完了まで続けるという意味。,"detect(ディテ́クト): 見破る, complete(コンプリ́ート): 完遂する",人・社会,中級
take after,テ́イク ア́フター,似ている,take(取る)とafter(〜の後)の組み合わせ。親に似るという意味。,"resemble(リゼ́ンブル): 似る, look like(ル́ックライク): 〜のように見える",人・社会,中級
wear off,ウェ́ア オ́フ,徐々に消える,wear(すり減る)とoff(離れて)の組み合わせ。効果が薄れるという意味。,"fade(フェ́イド): 薄れる, diminish(ディミ́ニッシュ): 減少する",時間・数量,中級
work up,ワ́ーク ア́ップ,徐々に高める・興奮させる,work(働く)とup(上へ)の組み合わせ。感情や状態を上げるという意味。,"build up(ビ́ルドア́ップ): 高める, develop(ディヴェ́ラップ): 発展させる",人・社会,中級
at ease,ア́ット イ́ーズ,くつろいで,at(〜において)とease(気楽さ)の組み合わせ。リラックスしているという意味。,"relaxed(リラ́クスト): くつろいだ, comfortable(カ́ンファタブル): 快適な",人・社会,中級
at present,ア́ット プレ́ゼント,現在は,at(〜において)とpresent(現在)の組み合わせ。今のところという意味。,"now(ナ́ウ): 今, currently(カ́レントリ): 現在",時間・数量,中級
at times,ア́ット タ́イムズ,時々,at(〜において)とtimes(時間)の組み合わせ。時折という意味。,"sometimes(サ́ムタイムズ): 時々, occasionally(オケ́イジャナリ): たまに",時間・数量,中級
by chance,バ́イ チャ́ンス,偶然に,by(〜によって)とchance(偶然)の組み合わせ。意図せずにという意味。,"accidentally(アクシデ́ンタリ): 偶然に, by accident(バ́イア́クシデント): 偶然",時間・数量,中級
by heart,バ́イ ハ́ート,暗記して,by(〜によって)とheart(心)の組み合わせ。記憶からという意味。,"from memory(フロ́ムメ́モリ): 記憶から, memorized(メ́モライズド): 暗記した",学校・学習,中級
by mistake,バ́イ ミステ́イク,間違って,by(〜によって)とmistake(間違い)の組み合わせ。誤ってという意味。,"accidentally(アクシデ́ンタリ): 偶然に, erroneously(エロ́ウニアスリ): 誤って",学校・学習,中級
by nature,バ́イ ネ́イチャー,生まれつき,by(〜によって)とnature(性質)の組み合わせ。本来的にという意味。,"naturally(ナ́チュラリ): 自然に, innately(イネ́イトリ): 生来",人・社会,中級
for instance,フォ́ー イ́ンスタンス,例えば,for(〜のために)とinstance(事例)の組み合わせ。実例を挙げるという意味。,"for example(フォ́ーイグザンプル): 例えば, such as(サ́ッチアズ): 〜のような",言語基本,中級
for sure,フォ́ー シュ́ア,確かに,for(〜のために)とsure(確実)の組み合わせ。間違いなくという意味。,"certainly(サ́ートゥンリ): 確かに, definitely(デ́フィニトリ): 絶対に",言語基本,中級
for free,フォ́ー フリ́ー,無料で,for(〜のために)とfree(自由な)の組み合わせ。お金なしでという意味。,"without charge(ウィザ́ウトチャ́ージ): 無料で, gratis(グレ́イティス): 無償で",日常生活,中級
in brief,イン ブリ́ーフ,手短に言えば,in(〜において)とbrief(短い)の組み合わせ。要約するとという意味。,"in short(インショ́ート): 要するに, to sum up(トゥサ́ムア́ップ): まとめると",言語基本,中級
in short,イン ショ́ート,要するに,in(〜において)とshort(短い)の組み合わせ。簡潔に述べるという意味。,"in brief(インブリ́ーフ): 手短に, briefly(ブリ́ーフリ): 簡単に",言語基本,中級
in general,イン ジェ́ネラル,一般的に,in(〜において)とgeneral(一般的な)の組み合わせ。通常はという意味。,"generally(ジェ́ネラリ): 一般に, usually(ユ́ージュアリ): 普通は",言語基本,中級
in common,イン コ́モン,共通して,in(〜において)とcommon(共通の)の組み合わせ。共有しているという意味。,"shared(シェ́アド): 共有の, mutual(ミュ́ーチュアル): 相互の",人・社会,中級
in detail,イン ディ́ーテイル,詳細に,in(〜において)とdetail(詳細)の組み合わせ。細かくという意味。,"thoroughly(サ́ロウリ): 徹底的に, minutely(マイニュ́ートリ): 精密に",学校・学習,中級
in order,イン オ́ーダー,整然として,in(〜において)とorder(順序)の組み合わせ。きちんと並んでいるという意味。,"neat(ニ́ート): きちんとした, organized(オ́ーガナイズド): 整理された",日常生活,中級
in particular,イン パティ́キュラー,特に,in(〜において)とparticular(特定の)の組み合わせ。とりわけという意味。,"especially(イスペ́シャリ): 特に, specifically(スペシ́フィカリ): 具体的に",言語基本,中級
in person,イン パ́ースン,直接・本人が,in(〜において)とperson(人)の組み合わせ。自分で会ってという意味。,"personally(パ́ースナリ): 個人的に, face to face(フェ́イストゥフェ́イス): 対面で",人・社会,中級
in private,イン プラ́イヴィト,内密に,in(〜において)とprivate(私的な)の組み合わせ。秘密にという意味。,"secretly(シ́ークリトリ): 秘密に, confidentially(コンフィデ́ンシャリ): 内緒で",人・社会,中級
in public,イン パ́ブリック,公然と,in(〜において)とpublic(公の)の組み合わせ。人前でという意味。,"openly(オ́ウプンリ): 公然と, publicly(パ́ブリクリ): 公に",人・社会,中級
in return,イン リタ́ーン,お返しに,in(〜において)とreturn(返却)の組み合わせ。見返りにという意味。,"in exchange(インイクスチェ́インジ): 交換に, as compensation(ア́ズコンペンセ́イション): 報酬として",人・社会,中級
in turn,イン タ́ーン,順番に・今度は,in(〜において)とturn(順番)の組み合わせ。次々にまたは結果としてという意味。,"successively(サクセ́シヴリ): 連続して, consequently(コ́ンシクウェントリ): 結果として",時間・数量,中級
on foot,オ́ン フ́ット,徒歩で,on(〜の上に)とfoot(足)の組み合わせ。歩いてという意味。,"walking(ウォ́ーキング): 歩いて, by walking(バ́イウォーキング): 歩行で",場所・移動,中級
bear in mind,ベ́ア イン マ́インド,心に留める,bear(持つ)、in(〜の中に)、mind(心)の組み合わせ。記憶しておくという意味。,"remember(リメ́ンバー): 覚えている, keep in mind(キ́ープインマインド): 念頭に置く",人・社会,中級
bring to light,ブリ́ング トゥ ラ́イト,明るみに出す,bring(もたらす)、to light(光へ)の組み合わせ。隠れていたものを明らかにするという意味。,"reveal(リヴィ́ール): 明かす, expose(イクスポ́ウズ): 暴露する",人・社会,中級
come to grips with,カ́ム トゥ グリ́プス ウィズ,取り組む・理解する,come(来る)、to grips(つかむことへ)、with(〜と)の組み合わせ。問題に真剣に対処するという意味。,"deal with(ディ́ールウィズ): 対処する, tackle(タ́クル): 取り組む",人・社会,中級
dawn on,ドーン オ́ン,ふと分かる,dawn(夜明け)とon(〜の上に)の組み合わせ。突然理解するという意味。,"occur to(オカ́ートゥ): 思いつく, realize(リ́アライズ): 気づく",人・社会,中級
draw on,ドロー オ́ン,利用する・近づく,draw(引く)とon(〜の上に)の組み合わせ。資源を使うまたは時間が近づくという意味。,"utilize(ユ́ーティライズ): 活用する, approach(アプロ́ウチ): 接近する",人・社会,中級
follow up,フォ́ロウ ア́ップ,追跡調査する,follow(追う)とup(上へ)の組み合わせ。継続して確認するという意味。,"pursue(パースー́): 追求する, check on(チェ́ックオン): 確認する",学校・学習,中級
get across,ゲ́ット アクロ́ス,理解させる,get(得る)とacross(横切って)の組み合わせ。意味を伝えるという意味。,"communicate(コミュ́ーニケイト): 伝達する, make understood(メ́イクアンダースト́ッド): 理解させる",言語基本,中級
get down to,ゲ́ット ダ́ウン トゥ,本気で取り組む,get(得る)、down(下へ)、to(〜へ)の組み合わせ。真剣に始めるという意味。,"start seriously(スタートシ́リアスリ): 真剣に始める, tackle(タ́クル): 取り組む",学校・学習,中級
give rise to,ギ́ヴ ラ́イズ トゥ,引き起こす,give(与える)、rise(上昇)、to(〜へ)の組み合わせ。結果をもたらすという意味。,"cause(コ́ーズ): 引き起こす, lead to(リ́ードトゥ): 導く",人・社会,中級
grow out of,グロ́ウ ア́ウト オヴ,卒業する・発展する,grow(成長する)、out of(〜から外へ)の組み合わせ。大きくなって不要になるという意味。,"outgrow(アウトグロ́ウ): 成長して必要なくなる, develop from(ディヴェ́ラップフロム): 〜から発展する",人・社会,中級
head for,ヘ́ッド フォ́ー,向かう,head(頭を向ける)とfor(〜へ)の組み合わせ。目的地へ進むという意味。,"go toward(ゴ́ウトウォード): 〜に向かう, proceed to(プロシ́ードトゥ): 〜へ進む",場所・移動,中級
keep from,キ́ープ フロ́ム,防ぐ・我慢する,keep(保つ)とfrom(〜から)の組み合わせ。遠ざけるという意味。,"prevent from(プリヴェ́ントフロム): 妨げる, refrain from(リフレ́インフロム): 控える",人・社会,中級
lay down,レ́イ ダ́ウン,規定する・置く,lay(置く)とdown(下に)の組み合わせ。規則を定めるまたは横たえるという意味。,"establish(イスタ́ブリッシュ): 確立する, set down(セ́ットダウン): 定める",人・社会,中級
let on,レ́ット オ́ン,漏らす・打ち明ける,let(させる)とon(上に)の組み合わせ。秘密を明かすという意味。,"reveal(リヴィ́ール): 明かす, disclose(ディスクロ́ウズ): 開示する",言語基本,中級
look back on,ル́ック バ́ック オ́ン,振り返る,look(見る)、back(後ろへ)、on(〜の上に)の組み合わせ。過去を思い出すという意味。,"recall(リコ́ール): 思い出す, reminisce(レミニ́ス): 回想する",人・社会,中級
make up to,メ́イク ア́ップ トゥ,機嫌を取る,make up(補う)とto(〜へ)の組み合わせ。取り入ろうとするという意味。,"flatter(フラ́ター): おだてる, curry favor with(カ́リフェ́イヴァーウィズ): ごまをする",人・社会,中級
measure up to,メ́ジャー ア́ップ トゥ,基準に達する,measure(測る)、up(上へ)、to(〜へ)の組み合わせ。期待に応えるという意味。,"meet standards(ミ́ートスタ́ンダーズ): 基準を満たす, match(マ́ッチ): 匹敵する",学校・学習,中級
narrow down,ナ́ロウ ダ́ウン,絞り込む,narrow(狭める)とdown(下へ)の組み合わせ。選択肢を減らすという意味。,"limit(リ́ミット): 制限する, reduce(リデュ́ース): 減らす",学校・学習,中級
phase out,フェ́イズ ア́ウト,段階的に廃止する,phase(段階)とout(外へ)の組み合わせ。徐々になくすという意味。,"eliminate gradually(イリ́ミネイトグラ́ジュアリ): 徐々に排除する, discontinue(ディスコンティ́ニュー): 中止する",人・社会,中級
play down,プレ́イ ダ́ウン,軽視する,play(演じる)とdown(下へ)の組み合わせ。重要性を下げるという意味。,"minimize(ミ́ニマイズ): 最小化する, understate(アンダーステ́イト): 控えめに言う",言語基本,中級
read up on,リ́ード ア́ップ オ́ン,詳しく調べる,read(読む)、up(上へ)、on(〜について)の組み合わせ。勉強するという意味。,"study(スタ́ディ): 勉強する, research(リサ́ーチ): 研究する",学校・学習,中級
see about,シ́ー アバ́ウト,手配する,see(見る)とabout(〜について)の組み合わせ。処理するという意味。,"attend to(アテ́ンドトゥ): 対処する, take care of(テ́イクケアオヴ): 世話する",人・社会,中級
sit back,シ́ット バ́ック,のんびりする,sit(座る)とback(後ろへ)の組み合わせ。リラックスするという意味。,"relax(リラ́ックス): くつろぐ, take it easy(テ́イクイットイージー): 気楽にやる",日常生活,中級
size up,サ́イズ ア́ップ,見積もる・評価する,size(大きさ)とup(上へ)の組み合わせ。判断するという意味。,"assess(アセ́ス): 評価する, evaluate(イヴァ́リュエイト): 査定する",人・社会,中級
snap up,スナ́ップ ア́ップ,素早く手に入れる,snap(パチンと)とup(上へ)の組み合わせ。即座に買うという意味。,"grab quickly(グラ́ブクウィ́クリ): 素早くつかむ, seize(シ́ーズ): 捕える",日常生活,中級
spring up,スプリ́ング ア́ップ,突然現れる,spring(跳ねる)とup(上へ)の組み合わせ。急に発生するという意味。,"appear suddenly(アピ́アサ́ドゥンリ): 突然現れる, emerge(イマ́ージ): 出現する",時間・数量,中級
stand by,スタ́ンド バ́イ,そばにいる・支持する,stand(立つ)とby(そばに)の組み合わせ。待機するまたは味方するという意味。,"support(サポ́ート): 支える, wait(ウェ́イト): 待つ",人・社会,中級
stand up for,スタ́ンド ア́ップ フォ́ー,擁護する,stand(立つ)、up(上へ)、for(〜のために)の組み合わせ。守るという意味。,"defend(ディフェ́ンド): 守る, support(サポ́ート): 支持する",人・社会,中級
step down,ステ́ップ ダ́ウン,退く・辞任する,step(歩む)とdown(下へ)の組み合わせ。地位を降りるという意味。,"resign(リザ́イン): 辞職する, quit(クウィ́ット): やめる",人・社会,中級
step up,ステ́ップ ア́ップ,強化する・進み出る,step(歩む)とup(上へ)の組み合わせ。増やすまたは引き受けるという意味。,"increase(インクリ́ース): 増やす, intensify(インテ́ンシファイ): 強める",人・社会,中級
sum up,サ́ム ア́ップ,要約する,sum(合計)とup(上へ)の組み合わせ。まとめるという意味。,"summarize(サ́マライズ): 要約する, conclude(コンクル́ード): 結論する",言語基本,中級
tie up,タ́イ ア́ップ,縛る・拘束する,tie(結ぶ)とup(上へ)の組み合わせ。束縛するまたは占有するという意味。,"bind(バ́インド): 縛る, occupy(ア́キュパイ): 占める",人・社会,中級
track down,トラ́ック ダ́ウン,追跡して見つける,track(追跡する)とdown(下へ)の組み合わせ。探し出すという意味。,"hunt down(ハ́ントダウン): 追い詰める, locate(ロ́ウケイト): 位置を突き止める",場所・移動,中級
wind up,ワ́インド ア́ップ,終わる・結局〜になる,wind(巻く)とup(上へ)の組み合わせ。最終的にという意味。,"end up(エ́ンドアップ): 結局〜になる, finish(フィ́ニッシュ): 終える",時間・数量,中級
wipe out,ワ́イプ ア́ウト,全滅させる,wipe(拭く)とout(外へ)の組み合わせ。完全に消すという意味。,"eliminate(イリ́ミネイト): 排除する, annihilate(アナ́イアレイト): 絶滅させる",人・社会,中級
wear down,ウェ́ア ダ́ウン,すり減らす・疲れさせる,wear(すり減る)とdown(下へ)の組み合わせ。徐々に弱らせるという意味。,"erode(イロ́ウド): 侵食する, exhaust(イグゾ́ースト): 消耗させる",人・社会,中級
brush up on,ブラ́ッシュ ア́ップ オ́ン,復習する,brush(磨く)、up(上へ)、on(〜について)の組み合わせ。知識を磨き直すという意味。,"review(リヴュ́ー): 復習する, refresh(リフレ́ッシュ): 思い出させる",学校・学習,中級
chip in,チ́ップ イ́ン,寄付する・口を挟む,chip(小片)とin(中へ)の組み合わせ。少額を出すまたは会話に入るという意味。,"contribute(コントリ́ビュート): 寄与する, interrupt(インタラ́プト): 割り込む",人・社会,中級
clamp down on,クラ́ンプ ダ́ウン オ́ン,取り締まる,clamp(締め具)、down(下へ)、on(〜の上に)の組み合わせ。厳しく規制するという意味。,"crack down on(クラ́ックダウンオン): 厳しく取り締まる, suppress(サプレ́ス): 抑圧する",人・社会,中級
fall for,フォ́ール フォ́ー,騙される・惚れる,fall(落ちる)とfor(〜のために)の組み合わせ。罠にかかるまたは恋に落ちるという意味。,"be deceived by(ビーディシ́ーヴドバイ): 騙される, fall in love with(フォールインラ́ヴウィズ): 恋に落ちる",人・社会,中級
hold on to,ホ́ウルド オ́ン トゥ,しっかりつかむ・保持する,hold(持つ)、on(上に)、to(〜へ)の組み合わせ。離さないという意味。,"keep(キ́ープ): 保つ, retain(リテ́イン): 保持する",日常生活,中級
bottle up,ボ́トル ア́ップ,抑え込む,bottle(瓶に入れる)とup(上へ)の組み合わせ。感情を閉じ込めるという意味。,"suppress(サプレ́ス): 抑圧する, hold back(ホ́ウルドバック): 抑える",人・社会,中級
burst out,バ́ースト ア́ウト,突然〜し始める,burst(破裂する)とout(外へ)の組み合わせ。急に表出するという意味。,"suddenly start(サ́ドゥンリスタート): 突然始める, break out(ブレ́イクアウト): 突発する",人・社会,中級
cave in,ケ́イヴ イ́ン,崩れる・屈服する,cave(洞窟)とin(中へ)の組み合わせ。陥没するまたは譲歩するという意味。,"collapse(コラ́プス): 崩壊する, yield(イー́ルド): 屈する",人・社会,中級
drop by,ドロ́ップ バ́イ,ちょっと立ち寄る,drop(降りる)とby(そばに)の組み合わせ。短時間訪問するという意味。,"stop by(スト́ップバイ): 立ち寄る, visit briefly(ヴィ́ジットブリ́ーフリ): 短く訪問する",場所・移動,中級
