語句,読み,意味,語源等解説,関連語,関連分野,難易度
fill in,フィ́ル イ́ン,記入する・代役を務める,fill(満たす)と in(中へ)の組み合わせ。空欄を埋める、または誰かの代わりをするという意味。,"complete(コンプリ́ート): 完成させる, substitute(サ́ブスティテュート): 代替する",学校・学習,初級
hand out,ハ́ンド ア́ウト,配る,hand(手渡す)と out(外へ)の組み合わせ。多くの人に物を配るという意味。,"distribute(ディストリ́ビュート): 配布する, give out(ギ́ヴア́ウト): 配る",学校・学習,初級
pass out,パ́ス ア́ウト,配る・気絶する,pass(渡す)と out(外へ)の組み合わせ。物を配る、または意識を失うという意味。,"distribute(ディストリ́ビュート): 配布する, faint(フェ́イント): 気絶する",日常生活,初級
give away,ギ́ヴ アウェ́イ,無料で配る・漏らす,give(与える)と away(離れて)の組み合わせ。タダであげる、または秘密を明かすという意味。,"donate(ドー́ネイト): 寄付する, reveal(リヴィ́ール): 明かす",人・社会,初級
throw out,スロ́ウ ア́ウト,捨てる・追い出す,throw(投げる)と out(外へ)の組み合わせ。不要なものを処分する、または人を追い出すという意味。,"discard(ディスカ́ード): 捨てる, expel(イクスペ́ル): 追放する",日常生活,初級
keep away,キ́ープ アウェ́イ,近づけない,keep(保つ)と away(離れて)の組み合わせ。距離を保つという意味。,"stay away(ステ́イアウェイ): 離れている, avoid(アヴォ́イド): 避ける",日常生活,初級
stay away,ステ́イ アウェ́イ,近づかない,stay(留まる)と away(離れて)の組み合わせ。ある場所や人から離れているという意味。,"keep away(キ́ープアウェイ): 近づけない, avoid(アヴォ́イド): 避ける",日常生活,初級
run out,ラ́ン ア́ウト,使い果たす・なくなる,run(走る)と out(外へ)の組み合わせ。供給がなくなるという意味。,"be exhausted(ビーイグゾ́ースティド): 尽きる, deplete(ディプリ́ート): 使い果たす",時間・数量,初級
give out,ギ́ヴ ア́ウト,配る・尽きる,give(与える)と out(外へ)の組み合わせ。配布する、または力が尽きるという意味。,"distribute(ディストリ́ビュート): 配る, run out(ラ́ンア́ウト): なくなる",日常生活,初級
wear out,ウェ́ア ア́ウト,すり減る・疲れ果てる,wear(着る)と out(外へ)の組み合わせ。使い古して破れる、または疲労困憊するという意味。,"become worn(ビカ́ムウォ́ーン): すり減る, exhaust(イグゾ́ースト): 疲れさせる",日常生活,初級
sort out,ソ́ート ア́ウト,整理する・解決する,sort(分類する)と out(外へ)の組み合わせ。物事を整理する、または問題を解決するという意味。,"organize(オ́ーガナイズ): 整理する, resolve(リゾ́ルヴ): 解決する",日常生活,初級
work on,ワ́ーク オ́ン,取り組む,work(働く)と on(〜に)の組み合わせ。何かに努力するという意味。,"focus on(フォ́ウカスオン): 集中する, concentrate on(コ́ンセントレイトオン): 専念する",学校・学習,初級
depend on,ディペ́ンド オ́ン,頼る・次第である,depend(依存する)と on(〜に)の組み合わせ。誰かに頼る、または何かによって決まるという意味。,"rely on(リラ́イオン): 頼る, count on(カ́ウントオン): 当てにする",人・社会,初級
concentrate on,コ́ンセントレイト オ́ン,集中する,concentrate(集中する)と on(〜に)の組み合わせ。一つのことに注意を向けるという意味。,"focus on(フォ́ウカスオン): 焦点を合わせる, pay attention to(ペ́イアテ́ンショントゥ): 注意を払う",学校・学習,初級
insist on,インスィ́スト オ́ン,主張する・こだわる,insist(主張する)と on(〜に)の組み合わせ。強く要求するという意味。,"demand(ディマ́ンド): 要求する, persist in(パスィ́ストイン): 固執する",言語基本,初級
come from,カ́ム フロ́ム,〜出身である・由来する,come(来る)と from(〜から)の組み合わせ。出身地や起源を示すという意味。,"originate from(オリ́ジネイトフロム): 由来する, be from(ビーフロム): 〜出身である",言語基本,初級
hear from,ヒ́ア フロ́ム,〜から連絡がある,hear(聞く)と from(〜から)の組み合わせ。誰かから知らせを受け取るという意味。,"receive news from(リスィ́ーヴニュ́ーズフロム): 〜から便りを受ける, get word from(ゲ́ットワ́ードフロム): 〜から連絡を受ける",人・社会,初級
suffer from,サ́ファー フロ́ム,〜で苦しむ,suffer(苦しむ)と from(〜から)の組み合わせ。病気や問題で苦痛を感じるという意味。,"be afflicted with(ビーアフリ́クティドウィズ): 〜に悩まされる, endure(エンデュ́ア): 耐える",食・健康,初級
recover from,リカ́ヴァー フロ́ム,〜から回復する,recover(回復する)と from(〜から)の組み合わせ。病気や困難から立ち直るという意味。,"get over(ゲ́ットオ́ウヴァー): 乗り越える, bounce back(バ́ウンスバ́ック): 立ち直る",食・健康,初級
result from,リザ́ルト フロ́ム,〜に起因する,result(結果となる)と from(〜から)の組み合わせ。何かが原因で起こるという意味。,"stem from(ステ́ムフロム): 由来する, arise from(アラ́イズフロム): 生じる",言語基本,初級
differ from,ディ́ファー フロ́ム,〜と異なる,differ(異なる)と from(〜から)の組み合わせ。何かと違いがあるという意味。,"be different from(ビーディ́ファレントフロム): 〜と違う, vary from(ヴェ́アリフロム): 〜と変わる",言語基本,初級
benefit from,ベ́ニフィット フロ́ム,〜から利益を得る,benefit(利益を得る)と from(〜から)の組み合わせ。何かから恩恵を受けるという意味。,"profit from(プロ́フィットフロム): 〜から利益を得る, gain from(ゲ́インフロム): 〜から得る",人・社会,初級
learn from,ラ́ーン フロ́ム,〜から学ぶ,learn(学ぶ)と from(〜から)の組み合わせ。経験や人から知識を得るという意味。,"study from(スタ́ディフロム): 〜から学習する, acquire knowledge from(アクワ́イアナ́リッジフロム): 〜から知識を得る",学校・学習,初級
graduate from,グラ́ジュエイト フロ́ム,〜を卒業する,graduate(卒業する)と from(〜から)の組み合わせ。学校を修了するという意味。,"complete(コンプリ́ート): 修了する, finish(フィ́ニッシュ): 終える",学校・学習,初級
switch from,スウィ́ッチ フロ́ム,〜から切り替える,switch(切り替える)と from(〜から)の組み合わせ。一つのものから別のものに変えるという意味。,"change from(チェ́インジフロム): 〜から変える, shift from(シ́フトフロム): 〜から移行する",日常生活,初級
prevent from,プリヴェ́ント フロ́ム,〜を妨げる,prevent(防ぐ)と from(〜から)の組み合わせ。何かが起こらないようにするという意味。,"stop from(スト́ップフロム): 〜を止める, keep from(キ́ープフロム): 〜させない",日常生活,初級
protect from,プロテ́クト フロ́ム,〜から守る,protect(守る)と from(〜から)の組み合わせ。危害から保護するという意味。,"shield from(シ́ールドフロム): 〜から守る, defend from(ディフェ́ンドフロム): 〜から防御する",人・社会,初級
save from,セ́イヴ フロ́ム,〜から救う,save(救う)と from(〜から)の組み合わせ。危険や困難から助け出すという意味。,"rescue from(レ́スキューフロム): 〜から救出する, deliver from(ディリ́ヴァーフロム): 〜から解放する",人・社会,初級
separate from,セ́パレイト フロ́ム,〜から分離する,separate(分ける)と from(〜から)の組み合わせ。一つのものから切り離すという意味。,"divide from(ディヴァ́イドフロム): 〜から分割する, isolate from(ア́イソレイトフロム): 〜から隔離する",日常生活,初級
hide from,ハ́イド フロ́ム,〜から隠れる,hide(隠れる)と from(〜から)の組み合わせ。誰かや何かから見えないようにするという意味。,"conceal from(コンスィ́ールフロム): 〜から隠す, keep secret from(キ́ープスィ́ークレットフロム): 〜から秘密にする",日常生活,初級
escape from,エスケ́イプ フロ́ム,〜から逃げる,escape(逃げる)と from(〜から)の組み合わせ。危険な場所や状況から抜け出すという意味。,"flee from(フリ́ーフロム): 〜から逃走する, run away from(ラ́ンアウェ́イフロム): 〜から逃げ出す",場所・移動,初級
choose from,チュ́ーズ フロ́ム,〜から選ぶ,choose(選ぶ)と from(〜から)の組み合わせ。複数の選択肢の中から一つを選ぶという意味。,"select from(セレ́クトフロム): 〜から選択する, pick from(ピ́ックフロム): 〜から選ぶ",日常生活,初級
borrow from,ボ́ロウ フロ́ム,〜から借りる,borrow(借りる)と from(〜から)の組み合わせ。誰かから一時的に物を借りるという意味。対義語: lend to,"loan from(ロ́ウンフロム): 〜から借用する, take from(テ́イクフロム): 〜から取る",人・社会,初級
steal from,スティ́ール フロ́ム,〜から盗む,steal(盗む)と from(〜から)の組み合わせ。不正に物を取るという意味。,"rob(ロ́ブ): 強奪する, thieve from(スィ́ーヴフロム): 〜から窃盗する",人・社会,初級
remove from,リムー́ヴ フロ́ム,〜から取り除く,remove(取り除く)と from(〜から)の組み合わせ。ある場所から何かを除去するという意味。,"take away from(テ́イクアウェ́イフロム): 〜から持ち去る, eliminate from(イリ́ミネイトフロム): 〜から排除する",日常生活,初級
date from,デ́イト フロ́ム,〜にさかのぼる,date(日付がある)と from(〜から)の組み合わせ。起源が特定の時期にあるという意味。,"originate from(オリ́ジネイトフロム): 〜に由来する, go back to(ゴ́ウバ́ックトゥ): 〜にさかのぼる",時間・数量,初級
range from,レ́インジ フロ́ム,〜から〜まで及ぶ,range(範囲がある)と from(〜から)の組み合わせ。範囲の始点を示すという意味。通常 range from A to B の形。,"extend from(イクステ́ンドフロム): 〜から広がる, vary from(ヴェ́アリフロム): 〜から変わる",時間・数量,初級
shift to,シ́フト トゥ,〜に移る,shift(移動する)と to(〜へ)の組み合わせ。位置や状態を変えるという意味。,"move to(ムー́ヴトゥ): 〜へ移動する, transfer to(トランスファ́ートゥ): 〜へ転移する",日常生活,初級
switch to,スウィ́ッチ トゥ,〜に切り替える,switch(切り替える)と to(〜へ)の組み合わせ。別の選択肢に変更するという意味。,"change to(チェ́インジトゥ): 〜に変える, convert to(コンヴァ́ートトゥ): 〜に転換する",日常生活,初級
turn to,タ́ーン トゥ,〜に頼る・〜に変わる,turn(向く)と to(〜へ)の組み合わせ。助けを求める、または別の状態になるという意味。,"resort to(リゾ́ートトゥ): 〜に訴える, appeal to(アピ́ールトゥ): 〜に訴える",人・社会,初級
refer to,リファ́ー トゥ,〜を参照する・言及する,refer(参照する)と to(〜へ)の組み合わせ。何かを見て情報を得る、または言及するという意味。,"consult(コンサ́ルト): 相談する, mention(メ́ンション): 言及する",言語基本,初級
lead to,リ́ード トゥ,〜につながる,lead(導く)と to(〜へ)の組み合わせ。何かが結果をもたらすという意味。,"result in(リザ́ルトイン): 〜という結果になる, cause(コ́ーズ): 引き起こす",言語基本,初級
belong to,ビロ́ング トゥ,〜に属する,belong(属する)と to(〜に)の組み合わせ。所有や所属を示すという意味。,"be owned by(ビーオ́ウンドバ́イ): 〜に所有される, be part of(ビーパ́ートオヴ): 〜の一部である",人・社会,初級
relate to,リレ́イト トゥ,〜に関係する・共感する,relate(関連する)と to(〜に)の組み合わせ。何かと関連がある、または共感するという意味。,"connect to(コネ́クトトゥ): 〜と結びつく, understand(アンダスタ́ンド): 理解する",言語基本,初級
apply to,アプラ́イ トゥ,〜に応募する・適用する,apply(応募する)と to(〜に)の組み合わせ。申し込む、またはルールなどが当てはまるという意味。,"submit to(サブミ́ットトゥ): 〜に提出する, be relevant to(ビーレ́ラヴァントトゥ): 〜に関連がある",学校・学習,初級
respond to,リスポ́ンド トゥ,〜に反応する・返事する,respond(応答する)と to(〜に)の組み合わせ。刺激や質問に対して反応するという意味。,"answer to(ア́ンサートゥ): 〜に答える, react to(リア́クトトゥ): 〜に反応する",言語基本,初級
adapt to,アダ́プト トゥ,〜に適応する,adapt(適応する)と to(〜に)の組み合わせ。新しい環境に慣れるという意味。,"adjust to(アジャ́ストトゥ): 〜に順応する, accommodate to(アコ́モデイトトゥ): 〜に適合する",人・社会,初級
contribute to,コントリ́ビュート トゥ,〜に貢献する,contribute(貢献する)と to(〜に)の組み合わせ。何かの助けになるという意味。,"add to(ア́ッドトゥ): 〜に加える, help(ヘ́ルプ): 助ける",人・社会,初級
subscribe to,サブスクラ́イブ トゥ,〜を定期購読する,subscribe(購読する)と to(〜に)の組み合わせ。雑誌などを定期的に購入するという意味。,"sign up for(サ́インア́ップフォア): 〜に登録する, register for(レ́ジスターフォア): 〜に登録する",日常生活,初級
compare to,コンペ́ア トゥ,〜にたとえる,compare(比較する)と to(〜に)の組み合わせ。似ているものを例えるという意味。類似: compare with(比較する),"liken to(ラ́イクントゥ): 〜にたとえる, equate with(イクウェ́イトウィズ): 〜と同一視する",言語基本,初級
object to,オブジェ́クト トゥ,〜に反対する,object(反対する)と to(〜に)の組み合わせ。何かに異議を唱えるという意味。,"oppose(オポ́ウズ): 反対する, disagree with(ディサグリ́ーウィズ): 〜と意見が合わない",人・社会,初級
agree to,アグリ́ー トゥ,〜に同意する,agree(同意する)と to(〜に)の組み合わせ。提案や条件を受け入れるという意味。,"consent to(コンセ́ントトゥ): 〜に承諾する, accept(アクセ́プト): 受け入れる",人・社会,初級
listen to,リ́スン トゥ,〜を聞く,listen(聞く)と to(〜に)の組み合わせ。注意して音を聞くという意味。,"hear(ヒ́ア): 聞こえる, pay attention to(ペ́イアテ́ンショントゥ): 〜に注意を払う",言語基本,初級
talk to,トー́ク トゥ,〜と話す,talk(話す)と to(〜に)の組み合わせ。誰かと会話するという意味。,"speak to(スピ́ークトゥ): 〜と話す, converse with(コンヴァ́ースウィズ): 〜と会話する",言語基本,初級
write to,ラ́イト トゥ,〜に手紙を書く,write(書く)と to(〜に)の組み合わせ。誰かに手紙やメールを送るという意味。,"correspond with(コレスポ́ンドウィズ): 〜と文通する, send a letter to(セ́ンドアレ́タートゥ): 〜に手紙を送る",言語基本,初級
introduce to,イントロデュ́ース トゥ,〜に紹介する,introduce(紹介する)と to(〜に)の組み合わせ。人を別の人に引き合わせるという意味。,"present to(プレゼ́ントトゥ): 〜に紹介する, acquaint with(アクウェ́イントウィズ): 〜と知り合わせる",人・社会,初級
invite to,インヴァ́イト トゥ,〜に招待する,invite(招待する)と to(〜へ)の組み合わせ。人をイベントや場所に招くという意味。,"ask to(ア́スクトゥ): 〜に頼む, summon to(サ́マントゥ): 〜に召喚する",人・社会,初級
devote to,ディヴォ́ウト トゥ,〜に捧げる,devote(捧げる)と to(〜に)の組み合わせ。時間や努力を何かに注ぐという意味。,"dedicate to(デ́ディケイトトゥ): 〜に専念する, commit to(コミ́ットトゥ): 〜に専心する",人・社会,初級
expose to,イクスポ́ウズ トゥ,〜にさらす,expose(さらす)と to(〜に)の組み合わせ。何かに触れさせる、または危険にさらすという意味。,"subject to(サブジェ́クトトゥ): 〜にさらす, introduce to(イントロデュ́ーストゥ): 〜に触れさせる",自然・環境,初級
attach to,アタ́ッチ トゥ,〜に取り付ける,attach(取り付ける)と to(〜に)の組み合わせ。何かを別のものに固定するという意味。,"fasten to(ファ́スントゥ): 〜に留める, connect to(コネ́クトトゥ): 〜に接続する",科学・技術,初級
connect to,コネ́クト トゥ,〜に接続する,connect(接続する)と to(〜に)の組み合わせ。二つのものを結びつけるという意味。,"link to(リ́ンクトゥ): 〜にリンクする, join to(ジョ́イントゥ): 〜に結合する",科学・技術,初級
owe to,オ́ウ トゥ,〜のおかげである,owe(負っている)と to(〜に)の組み合わせ。何かが原因であることを示すという意味。,"be due to(ビーデュ́ートゥ): 〜が原因である, attribute to(アトリ́ビュートトゥ): 〜のせいにする",言語基本,初級
add to,ア́ッド トゥ,〜に加える,add(加える)と to(〜に)の組み合わせ。何かを追加するという意味。,"increase(インクリ́ース): 増やす, supplement(サ́プリメント): 補う",時間・数量,初級
point to,ポ́イント トゥ,〜を指す・示す,point(指す)と to(〜に)の組み合わせ。方向や対象を示すという意味。,"indicate(イ́ンディケイト): 示す, show(ショ́ウ): 見せる",言語基本,初級
stick to,スティ́ック トゥ,〜に固執する・くっつく,stick(くっつく)と to(〜に)の組み合わせ。計画などを守る、または物理的に付着するという意味。,"adhere to(アドヒ́アトゥ): 〜に従う, cling to(クリ́ングトゥ): 〜にしがみつく",日常生活,初級
close to,クロ́ウス トゥ,〜に近い,close(近い)と to(〜に)の組み合わせ。距離や関係が近いという意味。,"near(ニ́ア): 近い, nearby(ニ́アバ́イ): 近くの",場所・移動,初級
next to,ネ́クスト トゥ,〜の隣に,next(次の)と to(〜に)の組み合わせ。すぐ隣にあるという意味。,"beside(ビサ́イド): 〜のそばに, adjacent to(アジェ́イセントトゥ): 〜に隣接する",場所・移動,初級
similar to,シ́ミラー トゥ,〜に似ている,similar(似ている)と to(〜に)の組み合わせ。性質が近いという意味。,"like(ラ́イク): 〜のような, resemble(リゼ́ンブル): 似る",言語基本,初級
contrary to,コ́ントレリ トゥ,〜に反して,contrary(反対の)と to(〜に)の組み合わせ。予想や期待に反するという意味。,"opposite to(オ́ポジットトゥ): 〜の反対に, against(アゲ́インスト): 〜に反して",言語基本,初級
due to,デュ́ー トゥ,〜のために・〜が原因で,due(原因となる)と to(〜に)の組み合わせ。理由や原因を示すという意味。,"because of(ビコ́ーズオヴ): 〜のせいで, owing to(オ́ウイングトゥ): 〜のため",言語基本,初級
