語句,読み,意味,語源等解説,関連語,関連分野,難易度
air,エ́アー,空気,"ギリシャ語の ""aēr"" が語源。","wind(ウィ́ンド): 風, sky(スカ́イ): 空",自然,初級
airplane,Airplane,飛行機,airplane の詳細な語源情報を追加してください。,,中級語彙,中級
airport,Airport,空港,airport の詳細な語源情報を追加してください。,,中級語彙,中級
album,ア́ルバム,アルバム,"ラテン語 ""album""(白い板)。派生: photo album(フォウトウアルバム): 写真アルバム","collection(コレ́クション): コレクション, record(レ́コード): レコード",物,中級
alive,アラ́イヴ,生きている,"古英語 ""on life""(生命において)。派生: stay alive(ステイアライヴ): 生き続ける / come alive(カムアライヴ): 生き生きする","living(リ́ヴィング): 生きている, active(ア́クティヴ): 活発な、living(リヴィング): 生きている, dead(デッド): 死んだ",状態、形容詞,中級
all,オ́ール,すべての,"古英語の ""eall"" が語源。","every(エ́ヴリ): すべての, none(ナ́ン): 何もない",限定詞,初級
allow,アラ́ウ,許す,"ラテン語の ""allaudare""(称賛する)が語源。意味が変化した。","permit(パーミ́ット): 許可する, forbid(フォービ́ッド): 禁じる",動作,初級
almost,オ́ールモウスト,ほとんど,"古英語の ""eallmǣst""(すべて最も)が語源。","nearly(ニ́アリ): ほとんど, just about(ジャ́ストアバ́ウト): ほぼ",副詞,初級
alone,アロ́ウン,一人で,"""all"" と ""one"" から。","lonely(ロ́ウンリ): 寂しい, together(トゥゲ́ザー): 一緒に",状態,初級
along,アロ́ング,〜に沿って,"古英語の ""andlang""(全体の長さ)が語源。","with(ウィ́ズ): 〜と一緒に, beside(ビサ́イド): 〜のそばに",前置詞,初級
alphabet,ア́ルファベット,アルファベット,ギリシャ語 alpha+beta(最初の2文字)。派生: alphabetical(アルファベ́ティカル): アルファベット順の,"letters(レ́ターズ): 文字, ABC(エイビースィー): アルファベット",言語,中級
already,オールレ́ディ,すでに,"""all"" と ""ready"" から。","yet(イェ́ット): まだ, now(ナ́ウ): 今",副詞,初級
also,オ́ールソウ,〜もまた,"古英語の ""ealswā""(全くそのように)が語源。","too(トゥ́ー): 〜もまた, as well(アズウェ́ル): 同様に",副詞,初級
although,オールゾ́ウ,〜だけれども,"all+""though""(〜にもかかわらず)。派生: even although(イーヴンオールゾウ): たとえ〜でも","though(ゾウ): けれども, even though(イーヴンゾウ): たとえ〜でも",接続詞,中級
always,オ́ールウェイズ,いつも,"古英語の ""eallne weg""(すべての道)が語源。","never(ネ́ヴァー): 決して〜ない, often(オ́フン): しばしば",頻度,初級
am,ア́ム,〜である,"インド・ヨーロッパ祖語の ""es-""(存在する)が語源。","is(イ́ズ): 〜である, are(ア́ー): 〜である",動詞,初級
a.m.,A.M.,午前,a.m. の詳細な語源情報を追加してください。,,中級語彙,中級
amazing,Amazing,驚くべき,amazing の詳細な語源情報を追加してください。,,中級語彙,中級
ambulance,ア́ンビュランス,救急車,"ラテン語 ""ambulare""(歩く)。派生: ambulance crew(アンビュランスクルー): 救急隊","emergency vehicle(イマージェンシヴィーイクル): 緊急車両, paramedic(パラメ́ディック): 救急隊員",乗り物,中級
America,America,アメリカ,america の詳細な語源情報を追加してください。,,中級語彙,中級
American,American,アメリカの,american の詳細な語源情報を追加してください。,,中級語彙,中級
among,アマ́ング,〜の間で,"古英語の ""onmang""(群れの中に)が語源。","between(ビトウィ́ーン): (二者の)間で, with(ウィ́ズ): 〜と一緒に",前置詞,初級
amount,Amount,量,amount の詳細な語源情報を追加してください。,,中級語彙,中級
an,ア́ン,一つの,"""one"" と同じ語源。","a(ア́): 一つの, the(ザ́): その",冠詞,初級
ancient,エ́インシェント,古代の・古い / 古代の,"ラテン語 ""ante""(以前)。派生: ancient times(エインシェントタイムズ): 古代","old(オ́ウルド): 古い, antique(アンティ́ーク): 古代の、old(オウルド): 古い, historic(ヒストリック): 歴史的な",評価、形容詞,中級
and,ア́ンド,そして,"ゲルマン祖語の ""andi"" が語源。","or(オ́ア): または, but(バ́ット): しかし",接続詞,初級
angry,Angry,怒った,angry の詳細な語源情報を追加してください。,,中級語彙,中級
animal,ア́ニマル,動物,"ラテン語の ""anima""(生命、魂)が語源。","plant(プラ́ント): 植物, human(ヒュ́ーマン): 人間",生物,初級
animated,Animated,アニメの,animated の詳細な語源情報を追加してください。,,中級語彙,中級
announcement,Announcement,announceすること,announcement の語源情報が必要です。,,名詞,中級
another,アナ́ザー,もう一つの,"""an"" と ""other"" から。","other(ア́ザー): 他の, different(ディ́ファレント): 違う",限定詞,初級
answer,ア́ンサー,答える,"古英語の ""andswaru""(反対の誓い)が語源。","question(クウェ́スチョン): 質問, reply(リプラ́イ): 返事する",伝達,初級
ant,ア́ント,アリ,"古英語 ""æmette""。派生: anthill(ア́ントヒル): アリ塚","insect(イ́ンセクト): 昆虫, colony(コ́ロニ): コロニー",動物,中級
any,エ́ニ,いくつかの,"古英語の ""ǣnig"" が語源。""one"" から派生。","some(サ́ム): いくつかの, no(ノ́ウ): 少しも〜ない",限定詞,初級
anymore,Anymore,もはや,anymore の詳細な語源情報を追加してください。,,中級語彙,中級
anyone,Anyone,誰でも,anyone の詳細な語源情報を追加してください。,,中級語彙,中級
anything,Anything,何でも,anything の詳細な語源情報を追加してください。,,中級語彙,中級
anyway,Anyway,とにかく,anyway の詳細な語源情報を追加してください。,,中級語彙,中級
anywhere,エ́ニウェア,どこでも,"any+""where""。派生: not anywhere(ノットエニウェア): どこにも〜ない","somewhere(サムウェア): どこか, everywhere(エヴリウェア): どこでも",副詞,中級
apologize,アポ́ロジャイズ,謝る,"ギリシャ語 ""apologia""(弁明)。派生: apology(アポロジー): 謝罪","excuse(イクスキューズ): 言い訳する, regret(リグレット): 後悔する",動詞,中級
appear,アピア́ー,現れる,"ラテン語の ""apparere""(現れる)が語源。派生: apparent(アパ́レント): 明白な / appearance(アピア́ランス): 外見","show(ショ́ウ): 示す, seem(スィ́ーム): 〜のように見える",状態,初級
apple,ア́ップル,りんご,"古英語の ""æppel"" が語源。派生: applesauce(ア́ップルソース): りんごソース / apple tree(ア́ップルツリー): りんごの木","fruit(フル́ート): 果物, pear(ペ́ア): 洋なし",食べ物,初級
apply,アプラ́イ,適用する・申し込む / 申し込む・適用する,"ラテン語 ""applicare""(結びつける)。派生: application(アプリケイション): 応募 / apply for(アプライフォア): 申し込む","use(ユ́ーズ): 使う, request(リクウェ́スト): 申請する、request(リクウェスト): 要求する, use(ユーズ): 使う",動作、動詞,中級
April,April,4月,april の詳細な語源情報を追加してください。,,中級語彙,中級
apron,Apron,エプロン,apron の詳細な語源情報を追加してください。,,中級語彙,中級
aquarium,Aquarium,水族館,aquarium の詳細な語源情報を追加してください。,,中級語彙,中級
are,ア́ー,〜です,be動詞の複数形・二人称現在形。派生: aren't(ア́ーント): 〜ではない,"is(イズ): です, were(ワー): でした, am(アム): です",動詞,初級
area,Area,地域,area の詳細な語源情報を追加してください。,,中級語彙,中級
arm,ア́ーム,腕・武器,"古英語 ""earm""(腕)。派生: armed(アームド): 武装した / arm in arm(アームインアーム): 腕を組んで","weapon(ウェ́ポン): 武器, limb(リ́ム): 手足",身体,中級
around,Around,周りに,around の詳細な語源情報を追加してください。,,中級語彙,中級
arrest,アレ́スト,逮捕する・停止 / 逮捕する,"ラテン語 ""arrestare""(止める)。派生: arrested(アレスティッド): 逮捕された / under arrest(アンダーアレスト): 逮捕されて","detain(ディテ́イン): 拘留する, capture(キャ́プチャー): 捕らえる、catch(キャッチ): 捕まえる, seize(シーズ): 捕らえる",動作、動詞,中級
arrive,アライ́ヴ,到着する,"古フランス語の ""arriver""(船が岸に着く)が語源。派生: arrival(アライ́ヴァル): 到着 / arrive at(アライ́ヴアット): 〜に到着する","reach(リ́ーチ): 到着する, come(カ́ム): 来る",交通,初級
art,ア́ート,芸術,"ラテン語の ""ars""(技)が語源。派生: artist(ア́ーティスト): 芸術家 / artistic(アーティ́スティック): 芸術的な","painting(ペ́インティング): 絵画, music(ミュ́ージック): 音楽",文化,初級
article,ア́ーティクル,記事・条項 / 記事・品物,"ラテン語 ""articulus""(小さな関節)。派生: definite article(デフィニットアーティクル): 定冠詞 / article of clothing(アーティクルオブクローシング): 衣類","item(ア́イテム): 項目, piece(ピ́ース): 記事、item(アイテム): 品目, piece(ピース): 一片",名詞,中級
artist,ア́ーティスト,芸術家,"フランス語 ""artiste""。派生: artistic(アーティ́スティック): 芸術的な","painter(ペ́インター): 画家, creator(クリエ́イター): 創作者",人物,中級
as,ア́ズ,〜なので・〜のように,"古英語の ""alswa"" に由来する機能語。派生: as if(ア́ズイフ): まるで〜のように / as soon as(ア́ズスーンアズ): 〜するとすぐに","since(シ́ンス): 〜なので, because(ビコ́ーズ): 〜なので",接続詞,初級
Asian,Asian,アジアの,asian の詳細な語源情報を追加してください。,,中級語彙,中級
ask,ア́スク,たずねる,"古英語の ""ascian"" が語源。派生: ask for(ア́スクフォア): 求める / asking(ア́スキング): 依頼","inquire(インクワ́イア): 尋ねる, question(クウェ́スチョン): 質問する",伝達,初級
astronaut,ア́ストロノート,宇宙飛行士,"ギリシャ語 ""astron""(星)+nautes(航海者)。派生: astronautics(アストロノーティクス): 宇宙航行学","cosmonaut(コ́ズモノート): 宇宙飛行士, spaceman(スペ́イスマン): 宇宙飛行士",人物,中級
at,ア́ト,〜で,"古英語の ""æt"" が語源(機能語)。派生: at least(ア́ットリースト): 少なくとも / at first(ア́ットファースト): 最初は","in(イ́ン): 〜の中で, on(オ́ン): 〜の上で",前置詞,初級
athlete,ア́スリート,運動選手,"ギリシャ語 ""athletes""(競技者)。派生: athletic(アスレティック): 運動の / athletics(アスレティックス): 陸上競技","sportsman(スポ́ーツマン): スポーツ選手, player(プレ́イヤー): 選手、player(プレイヤー): 選手, sportsman(スポーツマン): スポーツ選手",人物、名詞,中級
attach,アタ́ッチ,付ける・取り付ける / 取り付ける・付属させる,"古フランス語 ""atachier""(留める)。派生: attachment(アタッチメント): 付属品 / attach importance to(アタッチインポータンストゥー): 〜を重視する","fasten(ファ́スン): 留める, connect(コネクト): つなぐ、fasten(ファースン): 固定する, connect(コネクト): 接続する",動作、動詞,中級
attack,アタ́ック,攻撃・発作 / 攻撃する,"古フランス語 ""attaquer""。派生: attacker(アタッカー): 攻撃者 / under attack(アンダーアタック): 攻撃を受けて","assault(アソールト): 襲撃, offense(オフェ́ンス): 攻撃、assault(アソールト): 襲撃する, strike(ストライク): 打つ",動作、動詞,中級
attend,アテ́ンド,出席する・世話をする,"ラテン語 ""attendere""(注意を向ける)。派生: attendance(アテンダンス): 出席 / attend to(アテンドトゥー): 〜の世話をする","participate(パーティ́シペイト): 参加する, care for(ケ́アフォー): 世話をする、be present(ビープレゼント): 出席する, participate(パーティシペイト): 参加する",動作、動詞,中級
attention,アテ́ンション,注意・注目,"ラテン語 ""attentio""(注意)。派生: attentive(アテンティヴ): 注意深い / pay attention to(ペイアテンショントゥー): 〜に注意を払う","notice(ノ́ウティス): 注意, focus(フォ́ウカス): 焦点、care(ケア): 注意, focus(フォウカス): 焦点",名詞,中級
attractive,アトラ́クティヴ,魅力的な・魅力のある,attract+ive。派生: attractively(アトラクティヴリ): 魅力的に,"appealing(アピ́ーリング): 魅力的な, charming(チャ́ーミング): 魅力的な",評価,中級
audience,オ́ーディエンス,聴衆・観客,"ラテン語 ""audientia""(聴くこと)。派生: audience participation(オーディエンスパーティシペイション): 観客参加","spectators(スペクテ́イターズ): 観客, listeners(リ́スナーズ): 聴取者、spectator(スペクテイター): 観客, crowd(クラウド): 群衆",人物、名詞,中級
August,August,8月,august の詳細な語源情報を追加してください。,,中級語彙,中級
aunt,ア́ーント,おば,"ラテン語 ""amita""(父方のおば)。派生: great-aunt(グレイトアーント): 大おば","relative(レ́ラティヴ): 親戚, family(ファ́ミリ): 家族",人物,中級
Australia,Australia,オーストラリア,australia の詳細な語源情報を追加してください。,,中級語彙,中級
average,ア́ヴァリッジ,平均・平均的な,"アラビア語 ""awariya""(損害)。派生: on average(オナヴァリッジ): 平均して / above average(アバヴアヴァリッジ): 平均以上","mean(ミ́ーン): 平均, typical(ティ́ピカル): 典型的な、mean(ミーン): 平均, normal(ノーマル): 普通の",数学、名詞,中級
away,アウェ́イ,離れて,"""on""+""way"" が語源。派生: go away(ゴ́ーアウェ́イ): 立ち去る / far away(ファ́ーアウェ́イ): 遠くに","apart(アパ́ート): 離れて, abroad(アブロ́ード): 海外へ",方向,初級
awesome,Awesome,すごい,awesome の詳細な語源情報を追加してください。,,中級語彙,中級
awful,オ́ーフル,ひどい・恐ろしい,"awe(畏敬)+""ful""(満ちた)。派生: awfully(オーフリ): ひどく","terrible(テ́リブル): ひどい, dreadful(ドレ́ッドフル): 恐ろしい、terrible(テリブル): ひどい, dreadful(ドレッドフル): 恐ろしい",評価、形容詞,中級
baby,Baby,赤ちゃん,baby の詳細な語源情報を追加してください。,,中級語彙,中級
back,バ́ック,後ろに・戻って,"ゲルマン祖語の ""bakka"" が語源。派生: backward(バ́ックワード): 後ろ向き / backup(バ́ックアップ): 予備","return(リター́ン): 戻る, behind(ビハ́インド): 後ろに",方向,初級
bacON,Bacon,ベーコン,塩漬け乾燥した豚肉の薄切り加工食品。例: bacon and eggs(ベーコンエッグ)。,"ham(ハム): ハム, sausage(ソーセージ): ソーセージ",食べ物,初級
bad,バ́ッド,悪い,"語源不詳(中英語 ""badde"")。派生: badly(バ́ドリ): ひどく / badness(バ́ドネス): 悪さ","good(グッ́ド): 良い, poor(プ́ア): 劣った",形容詞,初級
badminton,Badminton,バドミントン,ラケットでシャトルを打ち合うネット型球技。例: play badminton(バドミントンをする)。,"tennis(テニス): テニス, volleyball(バレーボール): バレー",スポーツ,初級
bag,バ́ッグ,かばん,"古ノルド語の ""baggi"" が語源。派生: baggage(バ́ゲッジ): 手荷物 / baggy(バ́ギー): だぶだぶの","carry(ケ́アリ): 運ぶ, pocket(ポ́ケット): ポケット",生活,初級
bake,Bake,焼く,オーブンや直火で加熱調理する。パンや菓子を焼くときに使う。,ベイク,中級語彙,中級
baker,Baker,bakする人,baker の語源情報が必要です。,,名詞,中級
ball,ボ́ール,ボール,ゲルマン語系の語に由来。派生: balloon(バルー́ン): 風船 / ballgame(ボ́ールゲーム): 球技,"game(ゲ́ーム): 遊び, sport(スポ́ート): スポーツ",スポーツ,初級
banana,Banana,バナナ,banana の詳細な語源情報を追加してください。,,中級語彙,中級
bank,バ́ンク,土手・銀行,"イタリア語 ""banco""(ベンチ)。派生: riverbank(リヴァーバンク): 川岸 / savings bank(セイヴィングズバンク): 貯蓄銀行","shore(ショア): 岸, edge(エッジ): 縁",場所,中級
barrier,バ́リアー,障壁・バリア,"古フランス語 ""barriere""(柵)。派生: trade barrier(トレイドバリアー): 貿易障壁","obstacle(オ́ブスタクル): 障害, fence(フェ́ンス): 柵、obstacle(オブスタクル): 障害, fence(フェンス): 柵",物、名詞,中級
base,ベ́イス,基礎,"ギリシャ語の ""basis""(基)が語源。派生: basic(ベ́イシック): 基本の / basis(ベ́イシス): 基盤","foundation(ファウンデ́イション): 土台, ground(グラ́ウンド): 基礎",概念,初級
baseball,Baseball,野球,baseball の詳細な語源情報を追加してください。,,中級語彙,中級
basketball,Basketball,バスケットボール,basketball の詳細な語源情報を追加してください。,,中級語彙,中級
bath,Bath,入浴・風呂,身体を湯や水で洗う行為/その設備。例: take a bath(入浴する)。,"shower(シャワー): シャワー, tub(タブ): 浴槽",生活,初級
bathroom,Bathroom,浴室,bathroom の詳細な語源情報を追加してください。,,中級語彙,中級
be,ビ́ー,〜である・いる,"古英語 ""beon""。派生: being(ビ́ーイング): 存在","am(アム): です, is(イズ): です, are(アー): です",動詞,初級
beach,Beach,砂浜・海岸,海・湖の波でできた砂地。例: go to the beach(海へ行く)。,"coast(コースト): 海岸, shore(ショア): 岸",場所,初級
bean,Bean,豆,食用になる小さな種子。例: coffee bean(コーヒー豆)。,"pea(ピー): エンドウ豆, lentil(レンズ豆): レンズ豆",食べ物,初級
bear,ベ́ア,耐える・生む,"古英語 ""beran""(運ぶ)。派生: bearable(ベアラブル): 耐えられる","endure(エンデュア): 耐える, carry(キャリ): 運ぶ, tolerate(トーレレイト): 我慢する",動詞,中級
beat,ビ́ート,打つ・打ち負かす,"古英語 ""beatan""。派生: beating(ビーティング): 殴打 / heartbeat(ハートビート): 鼓動","hit(ヒット): 打つ, defeat(ディフィート): 打ち負かす, rhythm(リズム): リズム",動詞,中級
beautiful,Beautiful,beautiに満ちた,beautiful の語源情報が必要です。,,形容詞,中級
beauty,Beauty,美しさ,魅力的な外見や性質。例: natural beauty(自然美)。,"beautiful(ビューティフル): 美しい, charm(チャーム): 魅力",評価,中級
because,ビコ́ーズ,〜なので,"""by""+""cause"" が語源。派生: cause(コ́ーズ): 原因 / causal(コ́ーザル): 原因の","since(シ́ンス): 〜なので, as(ア́ズ): 〜なので",接続詞,初級
become,ビカ́ム,〜になる,"""be""+""come"" が語源。派生: becoming(ビカ́ミング): 似合う / outcome(ア́ウトカム): 結果","turn into(ターンイ́ントゥ): 〜に変わる, grow(グロ́ウ): 成長する",状態変化,初級
bed,ベ́ッド,ベッド,"古英語の ""bedd"" が語源。派生: bedroom(ベ́ドルーム): 寝室 / bedtime(ベ́ッドタイム): 就寝時間","sleep(スリ́ープ): 眠る, pillow(ピ́ロー): 枕",生活,初級
bedroom,Bedroom,寝室,bedroom の詳細な語源情報を追加してください。,,中級語彙,中級
bee,Bee,ハチ,蜜や花粉を集める昆虫。例: honey bee(ミツバチ)。,"insect(インセクト): 昆虫, wasp(ワスプ): スズメバチ",動物,初級
beef,Beef,牛肉,牛の肉。例: beef steak(ビーフステーキ)。,"pork(ポーク): 豚肉, chicken(チキン): 鶏肉",食べ物,初級
before,ビフォ́ー,〜の前に,"""be""+""fore""(前) が語源。派生: beforehand(ビフォ́アハンド): 前もって / forefront(フォ́アフロント): 最前線","after(ア́フター): 後に, prior to(プラ́イアトゥ): 〜より前に",時間,初級
begin,ビギ́ン,始める,"古英語の ""beginnan"" が語源。派生: beginning(ビギ́ニング): 始まり / beginner(ビギ́ナー): 初心者","start(スタ́ート): 始める, commence(コメ́ンス): 開始する",動作,初級
beginner,Beginner,beginnする人,beginner の語源情報が必要です。,,名詞,中級
behavior,Behavior,行動,behavior の詳細な語源情報を追加してください。,,中級語彙,中級
behind,ビハ́インド,〜の後ろに,"古英語の ""behindan"" が語源。派生: hind(ハ́インド): 後ろの / hindmost(ハ́インドモウスト): 最後部の","back(バ́ック): 後ろ, rear(リ́ア): 後部",位置,初級
believe,ビリ́ーヴ,信じる,"古英語の ""gelīfan"" が語源。""lief""(愛しい)に由来。派生: belief(ビリ́ーフ): 信念 / believable(ビリ́ーヴァブル): 信じられる","trust(トラ́スト): 信頼する, doubt(ダ́ウト): 疑う",思考,初級
below,ビロ́ウ,〜の下に,"古英語の ""belōwan"" が語源。派生: low(ロ́ウ): 低い / lower(ロ́ウアー): より低い","under(ア́ンダー): 下に, beneath(ビニ́ース): 下に",前置詞,初級
below,ビロ́ウ,〜の下に,"古英語の ""belōwan"" が語源。派生: low(ロ́ウ): 低い / lower(ロ́ウアー): より低い","under(ア́ンダー): 下に, beneath(ビニ́ース): 下に",前置詞,初級
bench,Bench,ベンチ,屋外や公共施設にある長い腰掛け。例: sit on a bench(ベンチに座る)。,"seat(シート): 座席, chair(チェア): いす",道具,初級
besides,ビサ́イズ,〜に加えて・その上,"by+""side""+""s""。派生: besides that(ビサイズザット): それに加えて","in addition(インアディション): さらに, moreover(モアオウヴァー): その上",前置詞,中級
best,ベ́スト,最も良い,"形容詞 ""good"" の最上級。派生: better(ベ́ター): より良い / bestseller(ベストセ́ラー): ベストセラー","greatest(グレ́イテスト): 最大の, top(トッ́プ): 最高の",程度,初級
better,ベ́ター,より良い,"形容詞 ""good"" の比較級。派生: betterment(ベ́ターメント): 改善 / get better(ゲットベ́ター): 良くなる","improve(インプル́ーブ): 改善する, worse(ワ́ース): より悪い",程度,初級
between,ビトゥイ́ーン,〜の間に,"古英語の ""betwēonum""。""two""(二)に由来。派生: in-between(インビトゥイ́ーン): 中間の / between A and B(ビトゥイ́ーンエ́ーアンドビ́ー): AとBの間で","among(アマ́ング): 〜の間で, middle(ミ́ドル): 中間",前置詞,初級
beyond,Beyond,〜を越えて,beyond の詳細な語源情報を追加してください。,,中級語彙,中級
bicycle,Bicycle,自転車,bicycle の詳細な語源情報を追加してください。,,中級語彙,中級
big,ビ́ッグ,大きい,語源不詳。派生: bigger(ビ́ガー): より大きい / biggest(ビ́ゲスト): 最も大きい,"large(ラ́ージ): 大きい, small(スモ́ール): 小さい",形容詞,初級
bike,Bike,自転車,ペダルをこいで進む二輪車。例: ride a bike(自転車に乗る)。,"bicycle(バイシクル): 自転車, motorbike(モーターバイク): オートバイ",乗り物,初級
bird,バ́ード,鳥,"古英語の ""brid"" が語源。派生: birdie(バ́ーディー): 小鳥 / birdwatching(バ́ードウォッチング): 野鳥観察","wing(ウィ́ング): つばさ, fly(フラ́イ): 飛ぶ",生物,初級
birthday,Birthday,誕生日,birthday の詳細な語源情報を追加してください。,,中級語彙,中級
bit,Bit,少し・わずか,ごく小さい量。例: a bit of(少しの)。,"piece(ピース): 断片, little(リトル): 少し",数量,初級
bitter,ビ́ター,苦い・つらい,"古英語 ""biter""。派生: bitterness(ビターネス): 苦味 / bitterly(ビターリ): ひどく","sour(サウアー): すっぱい, harsh(ハーシュ): 厳しい",形容詞,中級
black,ブラ́ック,黒い,"ゲルマン語系 ""blakaz""(焼け焦げた)に由来。派生: blacken(ブラ́ッケン): 黒くする / blackout(ブラ́ックアウト): 停電","white(ホワ́イト): 白い, dark(ダ́ーク): 暗い",色,初級
block,ブロ́ック,ブロック・妨げる,"古フランス語 ""bloc""(丸太)。派生: blockade(ブロケイド): 封鎖","obstacle(オブスタクル): 障害, prevent(プリヴェント): 妨げる",名詞,中級
blow,ブロ́ウ,吹く・強打,"古英語 ""blawan""(吹く)。派生: blow up(ブロウアップ): 爆発する / blow out(ブロウアウト): 吹き消す","wind(ウィンド): 風, strike(ストライク): 打つ",動詞,中級
blue,ブル́ー,青い,"フランス語の ""bleu"" が語源。派生: bluish(ブル́ーイッシュ): 青みがかった / blueberry(ブ́ルーベリー): ブルーベリー","green(グリ́ーン): 緑, sky(スカ́イ): 空",色,初級
board,ボ́ード,板・委員会,"古英語 ""bord""(板)。派生: board of directors(ボードオブディレクターズ): 取締役会 / on board(オンボード): 乗船して","plank(プラ́ンク): 板, committee(コミティ): 委員会",名詞,初級
boat,ボ́ート,舟,"古英語の ""bāt"" が語源。派生: boating(ボ́ーティング): 舟遊び / lifeboat(ラ́イフボート): 救命ボート","ship(シッ́プ): 船, river(リ́バー): 川",交通,初級
body,ボ́ディ,体・本体,"古英語の ""bodig"" が語源。派生: bodily(ボ́ドリ): 身体の / bodyguard(ボ́ディガード): 護衛","head(ヘ́ッド): 頭, health(ヘ́ルス): 健康",人体,初級
